find out,"na. 查出；发现；看清…的面目；识破
[网络] 查明；找出；了解"
wear off,"逐渐减弱, 消失, 磨损, 耗损"
in short,"简而言之
[法] 简言之"
arise from,"从…中产生,由…而引起"
be incapable of,不能
in a word,总之
succeed in sth.,无
respond to,"答复,响应,对…作出反应"
serve on,为成员
divide into,"把…划分成,分成"
of necessity,必然地
glare at,怒视
for example,例如
look for,"寻找, 期待"
turn around,"na. 转身；〈美〉使向好的方向转变
[网络] 回转；转过身；转过来"
invite ... to,邀请(某人)参加
instead of,代替
in part,部分地
be designed to,[网络] 被设计用于做；目的是；被设计作
insure against,给...保险
move on,继续前进
a group of,"一组,一队,一群,一伙,一批…"
make a profit,"获利,得益,赚钱"
consent to,"同意, 答应"
in the midst of,在...之中
in fashion,"时髦,流行,合潮流"
rip off,"v. 剥削；抢劫；强奸；〈俚〉剽窃
[网络] 宰客；宰人；撕掉"
for instance,"例如
[法] 例如"
account to,向(某人)报账
embody in,在…体现; 使具体化
under stress, 在受力时
come true,"实现, 成为事实"
thousands of,"成千上万,数千,许许多多"
accord with,"与...符合, 与...一致"
stand for,"代表, 代替, 象征, 支持, 担任...的候选人
[法] 代替, 代表, 拥护"
think of,"考虑, 关心, 想起, 记起, 想像, 有...的看法"
brand ... as,标以…记号(指恶名)，给…加上…的污名；给(商品)加上…商标
identify with, 认为…等同于; 觉得与…有联系; 支持; 同情（某人）
be entitled to,[法] 有资格或权利...
in addition,另外
be grateful for, 感恩戴德
think back, 回想
engage with,交战
have nothing to do with,与...无关
return the favor, 回报，报答
return a favor,无
be applicable to,(适)用于
line up,"na. 整顿(机械等)；排成一列；使(兵士)排齐；整顿阵容
[网络] 排队；整队；排成一行"
go through with,完成
make fun of,取笑
make efforts to,n. 努力，下功夫
make an effort to,努力
in touch with,与…保持联络
nothing more than,不过是...
rather than,与其...不如...
without question,毫无疑问
stake out,"na. “stake off”的变体
[网络] 立桩标出；放样；监视"
relate to,"na. 有关联；与…有关；理解
[网络] 涉及；与…有联系；与……有关联"
place a burden on,无
tens of thousands of, 千百万; 千千万万; 成千上万
hundreds of millions of,无
pray for,"v. 祈求
[网络] 祈祷；为…而祈祷；为求得…而祈祷"
invest in,"投资于, 买进"
be eager to,"盼望,渴望"
come into one's own,"得到自己该得的东西, 盛行起来
[法] 得到自己应得的东西, 继承"
keep track of,了解
clean up,"na. 收拾干净；【机械工程】改正；〔俚语〕赚厚利
[网络] 打扫；打扫干净；清除"
open up,"na. (打)开；割开；开发(资源)；揭示
[网络] 打开；开辟；开放"
part of, 部分
common sense,常识
from the outset,从一开始
in favor of,"赞同, 有利于"
be seen to be,无
or else,否则
talk of,"[法] 谈到, 说到, 说及"
turn off,"v. 关掉
[网络] 关上；关闭；解雇"
attempt to, 尝试，企图; 试图做某事
look inside, 往里看
in depth,"na. 广泛
[网络] 深入地；全面深入地；深入的"
so that,所以
work for,"为…工作,致力于…"
come to fruition,"实现,完成"
in exchange, [财]在兑换中
in exchange for,交换
be interested in,对…很感兴趣
set limits on,无
lean towards,"朝…倾斜,倾向于…"
as a result,结果
vary from ... to ...,无
shrug off,"na. (耸肩)表示轻蔑[不屑]；摆脱；扭身脱掉(衣服)
[网络] 耸肩表示对…不屑理睬；对…不屑一顾；对……满不在乎"
not long ago,不久前
remove from,从...除去
rest on,"被搁在, 停留在, 信赖"
keep ... away from,(使)远离，(使)不接近；(使)不在
with confidence,满怀信心地
appear to, 似乎，好像
provide sth. for sb.,无
be expected to, 被期待做某事; 有望做某事; 期许
pledge to,无
substitute for,"代替…,替换…,取代…"
wait for,"na. 等；等待
[网络] 等候；动作上的等待；等待某人"
draw attention to,"un. 促使…注意
[网络] 对……表示注意；吸引对……的注意；吸引注意力"
draw sb.'s attention to,[网络] 吸引某人的注意；引起某人注意某物；促使某人注意某事
none of ...,千万别…
decide to,[网络] 决定；决定去做；决定要
in the long term,长远地
break up,"v. 拆散；打碎；剖割(兽体等)；破坏
[网络] 分手；结束；分解"
be hostile to,对...有敌意
be hostile towards,无
be linked to,与...连接
be packed with,"挤满..., 装满..., 塞满..."
in addition to,"另外, 加之, 除…之外还"
be apt to,倾向于
assign sb. to sth.,[网络] 将sb分配给sth
assign sb. to do sth.,无
stick with, 继续做; 跟着…; 插满
tease out,"na. (将纠缠在一起的东西)整理；得出
[网络] 梳理；哄取；挑出"
rise above,升到…之上; 超越…; 克服; 沾沾自喜
wipe out,"na. 擦去；【无线】遮蔽；遮蔽地域；【信】封闭
[网络] 消灭；彻底摧毁；消灭，毁灭"
strip sb. of sth.,[网络] 带sb的sth
come to terms with,"与…达成协议,慢慢习惯"
place emphasis on,"强调,重视,着重于…"
put emphasis on,强调；着重于；强调；着重在，重视
side with,"同意, 站在...的一边"
look after,"目送, 照顾, 关心"
rush to, （使某人）急速去; 奔; 奔赴
set off,"na. 分；分割；划开；区划
[网络] 出发；动身；引起"
flee to,逃至
out of line,"na. 不一致；不成一直线
[网络] 出格；过分；越界"
with the exception of,"除...以外
[法] 除...外"
lay off,"na. 辞退；停止；暂停
[网络] 解雇；下岗；裁员"
set back,"na. 阻碍；延迟；〈非正式〉花费
[网络] 推迟；推迟，延缓；使退步"
be born with,"生来就有…,有…天赋"
no less than,正如
in such a case,在这种情况下
all the more so,"更加如此,尤其这样"
be accessible to,"可以进入,拿得到,对…开放,易受…影响"
in essence,"本质上, 实质上
[法] 实质上"
cling to,"依附, 依靠, 坚持"
do harm to, 损害。。。，伤害。。。; 残害
make it,"及时抵达, 做成"
for the better,"转好,变好,改善"
for fear of,"害怕,恐怕,生怕,唯恐,以防"
for fear that, 唯恐，害怕; 生恐; 惟恐; 生怕
take control of,"控制,掌管"
bear on,"使难以承受负荷, 有关, 瞄准
[法] 施力压力, 有关系, 有影响"
bear upon,"使难以承受负荷, 有关, 瞄准"
flag up,[网络] 举旗
in need of,"需要...时, 如果需要..."
turn on,"na. 转向；对…进行突击
[网络] 打开；接通；开启"
in the meantime,"同时;当其时,在其间"
participate in,"参加, 参与, 分享"
apply to,[计] 应用于
out of necessity,出于需要，必定
manage to, 达成，设法
leave behind,"na. 遗留；留下；追过；留在后头
[网络] 超过；落后；丢弃"
on the one hand,在一方面
on the other hand,另一方面
correlate with,与…相关
concern for, 为…担心
at a time,"每次, 在某时"
in place,"na. 得其所；适当的
[网络] 在适当的位置；在合适的位置；适当地"
differentiate ... from ...,指出〔显示〕出…与…有区别
correspond to,"相当于..., 与...相对应"
split up, <非正>瓜分; 劈成; （使）分成若干小部分; <非正>（使）断绝关系
keep to,"v. 坚持；固守
[网络] 保持；遵守；遵循"
at night,在晚上
in silence,沉默着
fend off,"na. 挡开；避开(灾祸等)
[网络] 挡回；抵御；垫开"
be another matter,无
prove to be, 成为
the hard way,"na. 用笨法
[网络] 小生当差；桃李飘零；艰难"
a kind of,"一种,一类"
in total,"总共, 总计
[经] 合计, 全部"
compensate for,赔偿
need to,需要；需要做
be biased against,"na. 对…抱有偏见
[网络] 对……有偏见"
be biased towards,无
pop into,急急走进…
for sale,"待售
[经] 出售, 待售"
work against,对…不利
wake up,"na. 同“wake”；叫醒；醒来；振作起来
[网络] 唤醒；起床；醒醒"
at first,起先
at the same time,"同时, 但是"
cannot but,不得不
cannot help, 不得不
cannot help but,"adv. 不得不
[网络] 禁不住；原形；考生之家"
be better off,境况好
be better off doing,无
classify ... into ...,无
cast light on sth.,无
shed light on sth.,使某事清楚明白地显示出来
throw light on sth.,"把光射在某物上, (喻)有助于理解某事物"
above average,"adj. 异乎寻常的
[网络] 高于平均水平；平均以上；超过平均水平"
be cautious about,无
give away,"na. 赠送；分发；放弃；露马脚
[网络] 泄露；出卖；分送"
proceed to,进入...
or so,"大约, 或许, ...左右"
depart from, 离开…; 背离，违背
amount to,"[经] 等于, 相当于"
insist on,"坚持, 坚决要求"
deal with,"安排, 处理, 涉及, 做生意"
peculiar to, 是…特有的
do one's utmost,竭力
try one's utmost, 竭力尽全力; 竭尽心力
be independent of,"独立于...之外, 不受...支配, 与...无关, 不依赖..."
provide ... with sth.,"为...装备(东西), 为...提供(东西)"
body of,[网络] 胆囊体
come along,v. 出现；一起来；陪伴；进步
be concerned with,"涉及..., 与...有关"
by chance,"偶然, 也许"
struggle against,与…进行斗争
struggle to,[网络] 竞争；救援人员今早奋力；斗争
take turns,"轮流, 依次"
roll out,"铺开, 洪亮地讲出
[电] 滚出"
be full of,充满
prefer to,"un. 较喜欢；宁愿:
[网络] 更喜欢；宁可；倾向于"
offer up, 献上
make the most of,尽量利用
in principle,"原则上, 大体上"
outside of,"在...的外面, 超出...的范围, 除了...之外"
connect to, 使与…连接; 使与…接通电话
receptive to,[网络] 乐於接受的
second only to,仅次于
be second only to,无
middle ground,"n. 妥协, 中间立场; 水道边浅滩"
take a stand,採取某种立场
take one's stand,在…的位置；在…上站岗；站在…的立场；以…为根据
take a stand on sth.,无
take one's stand on sth.,无
hail from,来自
at work,"在工作, 在运转"
lead to,"导致, 通向"
keep ... from doing sth.,[网络] 不要做sth
all of a sudden,突然
evolve from,由...进化
a few,"几个, 少数, 一些"
work with,"与…共事,与…协作"
press on,"na. 向前挤；坚决推进；“press ahead”的变体
[网络] 加紧赶路；加紧进行；压迫"
press ahead,"推进,挺进,勇勐前进,奋勇前进"
press forward,奋力向前
press on with,"加紧, 决心继续"
press ahead with,[网络] 加紧进行；推行；推进
press forward with,无
have an impact on,对…有影响
have an impact upon,"对…有影响;对…起作用,产生效果"
be possible to,[网络] 做得到的；有可能
rein in,"na. 勒住(马)；控制
[网络] 抑制；放慢；约束"
seize on,"抓住, 占有"
seize upon,"抓住,利用"
persuade sb. into sth.,无
persuade sb. into doing sth.,说服某人做某事
not to mention,不必提及
be necessary to,"na. 为…所必要
[网络] 对…有必要；对…有须要"
a bit,一点儿；有一点儿
seek ... from,从…中寻找〔找到〕
make sense,有意义
be vulnerable to,易受...的伤害
out of control,"不受控制, 失去控制
[法] 不受控制"
in front of,在...前面
look down on,"轻视, 看不起"
disagree about sth.,无
disagree on sth.,无
be unfamiliar with,"不熟悉…,对…很陌生"
arrive at,"到达, 达到"
arrive in,"到达,抵达,来到"
take over,"na. 接管；继承
[网络] 接收；接任；接替"
take effort,无
be about to,即将
lure sb. into sth.,无
lure sb. into doing sth.,无
tell apart,分辨
sum up,"na. 〈口〉概括；总结
[网络] 总计；归纳；总括"
be disappointed at,对…感到失望
feel disappointed at,无
in the form of,以…形式
decide on,"决定,选定,确定…"
decide upon,对…作出决定[决议]
in the end,"最后, 终于"
focus on, 致力于; 使聚焦于; 对（某事或做某事）予以注意; 把…作为兴趣中心
in dispute,在争论中
be essential to,对…必要的
let rip,[网络] 让全速前进；自由自在地行动
after all,毕竟
comply with,照做
be suspicious of,怀疑
be suspicious about,"对…怀疑,怀疑…"
ascribe ... to,"v. 把…归于
[网络] 归因于；归咎于；归功于"
aim for, 计划， 打算
aim at,"v. 目的在于
[网络] 瞄准；针对；旨在"
as a whole,总体上
filter out,[化] 滤出
as opposed to,"完全不同, 截然相反, 反对, 对照"
have confidence in,"信任,信赖 in confidence 秘密地,私下,暗中"
tax on,税
relative to,"相对于, 涉及
[计] 相对于"
be relative to,"与...有关, 与...成比例/相应"
such as,"例如..., 像这种的"
react to,作出反应
drop back to,无
go against,"反对, 违反, 不利于"
make the best of,充分利用
by all means,"尽一切办法, 一定"
be bound to do sth.,无
keep away,防范
keep away from,(使)远离，(使)不接近；(使)不在
along with,"与…一道,与…一起,连同…"
at large,"未被捕, 详尽, 普遍
[法] 未被捕的, 逍遥法外的, 详尽的"
in detail,详细地
lose faith in,不再信任
under fire,受攻击
work out,"v. 作出；拟定；制定；计划一下
[网络] 算出；解决；制定出"
adapt to,适应…;适合…
look at,"看, 考虑, 着眼于"
be representative of,"代表..., 表现..., 是...的典型"
on that count,无
function as,起…作用
eligible for sth.,无
be eligible for sth.,无
be qualified to, 能胜任…
free from,"na. 无…的
[网络] 不受…影响的；免于；没有"
sign on,"签约雇用, 开始广播"
at times,"有时, 不时"
come out,"到边远地区来, 出现, 露出, 出版, 罢工, 结果是, 褪去, 被解出, 宣布"
be parallel with,"与...同时, 随着..., 与...比较, 与...相应, 与...并联"
be parallel to,"与...平行, 与...类似"
try to do sth.,无
kick out,"na. 踢出；解雇；踢足球出界
[网络] 逐出；把球踢出界；开除"
talk about," 讨论, 谈论; 考虑（做…）; 唠; 话"
be reluctant to do sth.,不愿做某事
emigrate to,迁居到
sort out,"na. 清理
[网络] 分类；整理；解决"
knock off,"na. 敲落；中止(工作)；即席作(诗文等)；减低(价格)
[网络] 下班；停工；打落"
worry about,"焦虑..., 为...而操心/担心"
up to,"从事于(坏事), 忙于, 胜任, 能做, 适合, 适于"
by default,"因对方缺席,在对方缺席的情况下"
turn over,"na. ￡ 500 a week 每星期卖得五百镑
[网络] 移交；翻转；翻过来"
for use,[网络] 以便使用；用途；供使用
bring forth,使产生
attribute to,"na. 认为(成功)是(努力)的结果
[网络] 归因于；把…归因于；归咎于"
see ... as,[网络] 视…为；看作；看作为
perceive ... as,[网络] 认为；视为；当作
compete with,与…竞争
come down,"下来, 下跌, 落泊, 流传下来, 捐钱, 反对"
jump at,欣然接受
pay attention to,注意
listen to,听
be licensed to,被许可…
be obliged to, 不得不; 只得; 必须
guard against,"预防,使提防"
to come,未来地
turn out,"v. 证明；原来；到场
[网络] 生产；结果是；关掉"
let alone,"na. 任随；更不用说；放任；莫说…(连)
[网络] 更别提；更不必说；不管"
half of,无
come to mind,[网络] 想到；出现在脑海中；想起
promise to,v. 把某人许配给某人
out of style,"过时,不时兴,不时髦"
renege on,[网络] 食言；违背；违约
for my part,"就我而言, 对我来说"
for the best,出于好意
evolve into,"进化成,渐渐发展成"
suck in,"吸收, 吞没
[法] 欺骗, 失望, 失败"
exclusive to, 专为…所独有
take up,"na. 拿起；举起；拾起；给搭(火车等)
[网络] 占据；从事；开始"
look back,"回顾, 三心二意
[经] 银行对过去贷款的审查"
lack of, 缺乏
approve of,"赞成,批准…"
weigh in,"称重量, 参加
[法] 参加, 介入"
call out,"召唤...行动, 唤起, 大声叫唤"
no exception,[网络] 没有例外；无一例外；不例外
set out,"n. 开始；出发；动身；准备
[网络] 陈列；着手；陈述"
speed up,"加速
[经] 加速"
fit in, 有地方容纳; 有时间从事（某事）; 有时间接待（某人）; 相处融洽
in a dilemma,"陷入困境,处境尴尬,进退两难"
in charge,"主管, 看管, 在...看管下"
day by day,逐日
in the name of,"以...的名义
[法] 假借...名义, 以...的名义, 代表..."
by the name of,名叫...
infuse sb. with sth.,无
infuse sth. with sth.,无
be susceptible to,"易患..., 对...敏感"
be sympathetic to,无
become sympathetic to,无
give priority to,"给…以优先权,优先考虑…"
detect ... from ...,从…中发现
do damage to ...,"损害,破坏"
get together,"聚集, 收集, 积累"
revolve around," 旋转, 绕转; 环绕"
catch one's attention,无
gaze into,无
lose one's job, 失业; 丢饭碗
all too often,时常
be hailed as ...,[网络] 被当作；被誉为；被一致认为
push sb. too far,无
at the moment,此刻
at the speed of,以…的速度
similar to, 跟。。。类似得，与。。。同样的; 如同
differentiate between A and B,把(甲)和(乙)区别/分开来
rely on,"依赖, 依靠"
by the end of,"到…结束的时候,到…末"
register for,"登记参加,报名参加"
be dominant over,无
doze off,不知不觉地睡着了
pin down,"na. 强迫(人)承认[履行]条约；用…束缚住；阻止；牵制
[网络] 确定；压制；使受约束"
at that point, 就在那时
empower sb. to do sth.,"授权(某人)做(某事), 准许(某人)做(某事)"
be prone to,"有...的倾向, 易于"
devote to,"v. 把…贡献给
[网络] 致力于；献身于；把……献给"
in advance,"预先
[经] 预先"
far beyond,[网络] 是远远超过的意思；融解的速度远超过；大大超越
point out,"na. 指出
[网络] 指明；说明；指示"
be enthusiastic about,对…热心
put an end to,"结束, 终止"
sit for the bar,无
put on,"na. 假话
[网络] 穿上；上演；戴上"
be put on hold,[网络] 暂停；搁置；被叫停
come with," 伴随…发生, 与…一起供给"
value in,无
lose control of,失控
in prison,坐牢
make up for,"补偿,弥补"
a string of,n. 一串的，一系列，一批; 一连串
be willing to,愿意(做)...
most often,adj. 常常( often的最高级 ); 经常; 时常; 在大多数情况下
be confronted with,面临
be afraid to,害怕
make conversation,"对话,谈话;没话找话,闲扯"
show sympathy for,无
take ... for granted, 信以为然
most of,"大多数,大部分"
at all,[网络] 高的
weigh down,"na. 使负重担；压迫
[网络] 压倒；使…负重担；沉重地压在心头"
follow the example of,学习…的榜样
go away,走开
as a means of,作为…的工具；作为…的方法
around the clock,"连续一整天, 连续一昼夜, 二十四小时"
be serious about, 对…是认真的，认真对待
search for,搜查
lean on,靠着
in reality,"实际上, 事实上"
quick fix,"n. 速效对策, 快速解决问题的办法"
in conjunction with,与...协力
look up to," 抬头看（某人或某物）, 尊重[敬仰]（某人）; 企慕; 瞧得起; 仰慕"
a big deal,要人
switch to,"切换到
[计] 切换到"
volunteer to,[网络] 志愿提出某事；自愿去；V自愿从事
for good,"永久地, 永远地, 一劳永逸地"
cater to,迎合
a piece of cake,轻松的事
get rid of,"摆脱, 除去"
on average, 平均起来
other than,"不同于, 除了"
escape from,逃脱
bring back,"na. 送回；使恢复；使回忆起
[网络] 拿回来；带回；带回来"
fall short, 缺乏; 不足; 达不到（目标）; 不符合
thirst for,"渴望, 热望"
to the effect that,"大意是, 以便"
take measures,採用措施
offer to,[网络] 提供；提出；愿意
in the wake of,"尾随, 紧跟, 仿效"
cast doubt on,"引起对...的怀疑, 使人们不相信..."
leave sb. in the dark,不给(某人)知道
hand out,"na. 分；拿出来；施舍
[网络] 分发；散发；分给"
not ... until,直到...才...
die of,"死于…,因…而死"
press forward,奋力向前
live with, 与…一起生活; 与（异性）同居; 学会去适应; 接受并忍受
owing to,"由于..., 因为..."
be meant to,"有意要,打算"
in so far as,"至于, 就..."
be generous to,无
be popular with,为...所喜欢
emerge from,从…出现
look into,"窥视, 浏览, 观察
[法] 调查"
pay for,付...款
keep an eye on,"照看, 密切注视"
to say the least,退一步说
come across,偶遇
at the start of,[网络] 在…开始的时候；在……的开始；在---的开端
want to, <口>应该; 要
known as," 被称为, 公认为"
be known as,被认为是
in some cases, 在某些情况下; 有时候
pile into,"挤入, 进入"
stand out,"突出, 坚持抵抗"
at the beginning of,在…刚开始的时候
send out,"na. “send forth”的变体
[网络] 发出；派遣；发送"
reflect on,"深思, 反省, 导致, 招致非议"
a lot of,许多的
boot up, [计]引导，启动
in the manner of,"以…方式,按照,根据…"
pose sth. to,无
enter into,"进入, 参加, 成为...一部分, 讨论, 研讨, 体谅, 分享
[法] 进入, 参加, 缔结"
a list of,"一列, 一栏"
at the brink of,[网络] 濒临……边缘
apply for,"申请,请求,要求…"
with ease,"容易, 不费力"
on the charge of,以…之罪
be inferior to,"劣于..., 比...差"
for the benefit of,为…的利益 ; 为惩戒…
all in all,"总而言之, 合计, 头等重要的东西"
in the absence of,"无…时,缺少…时"
take hold, （如通过抓握来）夺取; 扎根
regardless of,"不注意, 不关心"
eat up,"吃光, 耗尽, 吞灭"
ban ... from,禁止
by all accounts,据大家所说
learn from,向...学习
solution to, 解决方法
in need,"在急需时,在贫困时,在危难中"
dedicate to,献身
on campus,在校内
mess up,"na. 搞砸；弄糟；弄脏；弄乱
[网络] 搞糟；陷入困境；把…弄糟"
tempt sb. into sth.,无
tempt sb. into doing sth.,无
would rather,"倒愿意…,宁愿…"
work at,解(题)
work on,"继续工作, 设法说服, 影响"
make progress,取得进步/展
differ from,不同
put up with,"忍受, 容忍
[法] 容忍"
hundreds of,"几百..., 许许多多..."
look to,"照看, 注意, 指望"
in the future,"未来, 将来, 往后"
on account of,由于
do with,"与...相处, 忍受, 对付"
in the way of,在…方面;在…过程中;作为…;阻碍…
be going to,将要；打算
be busy doing sth.,正忙于做…
an array of,"一排,一大批…"
in place of,"代替
[法] 代替"
go along with,"陪...一起去, 赞同, 附和"
refrain from,"忍住, 节制, 戒除"
look out of,从…向外看
in one way,"在某点上, 在某种程度上, 有几分, 稍微"
research into,"探究, 调查"
to the letter,"严格按照字句, 不择不扣地"
take a page from,无
for the long term,无
ask for,"na. 要(价)；来找
[网络] 请求；要求；要求得到"
in conclusion,最后
adjust to,[计] 调整至
be able to,"能, 会"
at the very least,"至少, 起码, 无论如何"
as soon as,一...就
bound for, 驶往
in the case of,在...的情况
give up,"na. 放弃；断绝；投降；自首
[网络] 停止；抛弃；认输"
go off,"离开, 去世, 消失, 爆炸, 被发射, 变质, 进行, 睡去, 卖掉"
write off,"na. 注销(债款等)；报废；提笔就写(文章等)；减低资产账面额
[网络] 勾销；取消；冲销"
embed ... in,使牢牢嵌入
faint praise,无
compare to, 把…比作， 喻为; 与…相比
something wrong with,"在…方面有问题,…出了毛病"
grow up,"成熟, 成年, 发展, 逐渐形成"
set up,"na. 建立；创立；发起；开办
[网络] 设立；设置；成立"
slow down,(使)慢下来
be different from,"与…不同,和…不一样"
prevent ... from,"阻止, 妨碍"
by no means,决不
think about,"考虑, 回想"
relieve of,"v. 解除
[网络] 减轻；消除；减轻……的"
take advantage of,"v. 利用
 欺骗, 占…的便宜"
scrape through,勉强通过
buy into,出钱入(某组织或企业)
pay a price for,无
billions of, 数以亿计的；亿万
millions of,"成千上万的..., 无数的..."
beside the point,"离题, 不中肯"
at once,立刻
persuade sb. to do sth.,无
a growing number of,无
knock out,"na. 敲出；敲空；使屈服；使无用
[网络] 击倒；击昏；打破"
be comparable to,"与...可比较的, 比得上...的"
contrary to,与…相反
link A to B,无
protect ... from,保护
plunge into,"投入, 跳入"
immune to, 对…免疫; 不受…感染; 不受影响的
be immune to,"对...有免疫力, 可避免..., 不受...的影响"
be worse off,比以前更穷〔不愉快、不健康〕
sign up,"签约参加工作, 签约雇用"
sign up for, 注册，选课；报名参加
cooperate with,与...合作
do away with,"废除, 弄死"
fall asleep,"入睡, 长眠, 懈怠, 静止不动"
make ends meet,"量入为出,使收支相抵"
in all,"总共
[经] 合计, 全部"
be capable of,能够
meet with,"偶遇, 遭受"
at odds with, 与…不和，与…争吵
tell about,告诉(某人)有关…的情况; 谈及
be in a rut,"过着/开始过枯燥僵化的生活, 开始墨守成规"
be struck in a rut,无
spend on,[网络] 花费；把…花在；在……方面花费
at risk,"un. 担风险
[网络] 有危险；在危险中；处于危险中"
at a ... speed,无
allow to,根据法律拨(款)给；给(钱)与
allow ... to,根据法律拨(款)给；给(钱)与
mislead ... into doing,无
care about,担心
urge ... to,"怂恿, 激励"
look around, 四下观望; （作出选择前）进行调查; 骋目四顾; 四顾
commit to,"un. 移交
[网络] 把……投入；承诺；致力于"
at the time,"当时,那时"
trade with sb.,无
agree to,"同意,赞成…"
move forward, 前进
be filled with,充满…
deliver ... to, 转交，交付，传达
catch up,"na. 与…并驾齐驱 (to with)；扰乱(说话人)
[网络] 赶上；追上；跟上"
catch up with sb.,[网络] 赶上某人；追上；追上某人
for a while,暂时
no doubt,无疑地
a host of,"许多,一大群"
all the same,仍然
carry out,"na. 实行；开展；完成
[网络] 执行；实现；贯彻"
trade up,买进更高价的东西
in respect of,"[法] 关于, 就...而言"
be to do sth.,无
the other day,不久前某一天
close off,"na. 结(账)；隔离；封锁；阻塞
[网络] 结帐；封死；关闭"
pay out,"na. 还(债)；放出(绳子)；痛加责罚；〈美〉赚到钱
[网络] 付出；支付；支出"
be exposed to,"[计] 曝光, 曝露"
pass down,"un. 过；一闪即逝；下达
[网络] 传递；传下去；传下来"
impinge on,"撞击, 侵犯, 紧密接触"
impinge upon,vt. 冲击(碰撞)
talk to, 同（某人）谈话; 责骂
as for,至于
have the last word,"[法] 辩论中作最后的判断, 有决定权"
happen to,"碰巧,偶然;发生于"
shut out,"na. 不让进来；遮得看不见；【棒球】不让得分
[网络] 退关；排除；把…排斥在外"
hold true for,(对…)有效；(对…)实用
move sb. toward,无
in the course of,"在...期间
[法] 在...过程中, 在...期间"
on the basis of ...,以...为基础
make profits of,无
disagree with sb.,"不适合..., 对...有害, 不同意..."
trifle with,玩弄
be good at,擅长
in time,"na. 经过一段时间以后；早晚；在恰好的时候；和…合拍
[网络] 及时；钟点战；时间规划局"
pick up,"v. 拾起；探出；重新开始
[网络] 捡起；拿起；学会"
in despair,绝望地
look on the bright side,对事物抱乐观态度
around the corner,"在拐角处, 在附近, 即将来临"
end up,"竖着, 结束, 死"
in turn,"na. 挨次
[网络] 依次；轮流；反过来"
fight against,对抗
lie with,是...的权利/义务
lag behind,落后(于...)
make an apology,道歉
get through,"做完, 通过, 度过"
so far,迄今为止
throw off,"na. 摆脱(习惯,拘束等)；抛弃；脱掉(衣服)；甩掉
[网络] 扔掉；摆脱掉；扔开"
at all times,一直
on the contrary,"正相反
[法] 正相反, 相反地"
with regard to,关于
in regard to,"关于
[法] 关于"
come from,"来自, 出生于"
in the making,"在形成中,在酝酿中"
some of,无
to be sure,"诚然, 固然, 哎呀"
as a result of,作为结果
by way of,"经由, 作为, 为了
[经] 当作, 为了, 通过"
a pile of,"一堆,一垛…"
piles of,[网络] 一大堆；成堆的；一大批
be puzzled by,无
have effect on,对…有影响
in a sense,在某种意义上
waste time doing sth.,"把时间浪费在做…上,浪费时间做…"
in some ways,在某些方面
first and foremost,首要地
have a break, 休息一下
come up with,"赶上, 提出"
give in,"na. 让步；屈服；投降；上交
[网络] 交上；认输；放弃"
all at once,"突然, 同时
[计] 整批发送"
set aside,"na. 搁置；拨出；驳回
[网络] 留出；取消；挑出，留出"
a waste of, 浪费…
