abdomen,"n. 腹部
[医] 腹[部]"
undermine,"vt. 破坏, 渐渐破坏；挖掘地基"
assess,"vt. 估定, 对...征税, 评定
[经] 估计, 估价, 确定(税款罚款等)的金额"
chamber,"n. 室, 房间, 枪膛
vt. 装(弹药), 把...关在室内
a. 室内的"
disdain,"n. 蔑视
vt. 蔑视, 鄙弃"
espy,"vt. 看出, 望见, 发现"
glossy,"a. 平滑的, 有光泽的"
janitor,"n. 守卫, 门警, 管理人
[医] 幽门"
packet,"n. 小包, 一批信件, 大量, 信息包
vt. 打包, 装进小包
[计] 分组, 分组报文, 数据分组"
pulpit,n. 讲道坛
scorch,"n. 烧焦, 枯萎
v. 烧焦, 拷焦, (使)枯萎, 讽刺"
surge,"n. 巨涌, 汹涌, 澎湃
vi. 汹涌, 澎湃, 颠簸, 猛冲, 突然放松
vt. 使汹涌奔腾, 急放
[计] 电压尖峰"
utensil,"n. 器皿, 用具"
bayonet,"n. 刺刀；卡销
vt. 用刺刀刺
vi. 用刺刀；劈刺"
compassion,"n. 同情, 怜悯"
detain,"vt. 扣留, 扣押, 耽搁
[法] 拘留, 扣押, 留住"
faction,n. 派别；内讧；小集团；纪实小说
hue,"n. 样子, 色度, 色彩, 叫声, 色调
[计] 色调"
luster,"n. 光彩, 荣誉, 光泽
vi. 有光泽, 发亮
vt. 使发光辉"
persevere,"vi. 坚持, 孜孜不倦, 不屈不挠, (辩论中)固执己见"
rave,"n. 狂吼, 狂暴
v. 愤怒地说, 叫嚷, 咆哮"
slay,左捻
tablet,"n. 平板, 门牌, 笔记簿, 碑, 匾, 药片
[化] 片剂"
voluptuous,"a. 骄奢淫逸的, 贪图酒色的, 妖娆的, 肉欲的, 激起情欲的, 色情的"
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作
vt. 访问, 存取, 接近, 使用
[计] 访问, 存取"
beckon,"v. 招手示意, 召唤, 吸引
n. 表召唤的点头(或手势)"
concur,"vi. 同意, 一致, 同时发生
[法] 同时发生, 并发, 同意"
denounce,"vt. 告发, 抨击, 谴责
[法] 谴责, 斥责, 告发"
fray,"v. （使织物边沿）磨损；恼火
n. 争辩（尤指激烈或视为检验能力的）
[网络] 吵架；冲突；争论"
hamper,"n. 食篮, 阻碍物, 食盒
vt. 阻碍, 使困累, 妨碍, 牵制"
malady,"n. 病, 疾病, 弊病
[医] 病"
plod,"n. 沉重的步伐, 辛勤工作
vi. 沉重地走, 辛勤工作, 孜孜从事
vt. 沉重缓慢地走"
remnant,"n. 剩余, 零料, 遗迹
a. 剩余的, 残余的"
snore,"n. 鼾声, 打鼾
vi. 打鼾
vt. 打鼾度过"
tinge,"n. 色调, 色彩, 气味, 气息
vt. 染, 使带气息"
ailment,"n. 病痛, 疾病
[医] 疾病"
bicker,"vi. 斗嘴, 潺潺而流, 闪动
n. 口角, 流水声"
contrive,"v. 发明, 设计, 图谋"
dazzle,"v. (使)眼花, 炫耀
n. 耀眼"
fumble,"n. 摸索, 笨拙的行动, 漏球
vt. 摸索, 乱摸, 笨拙的处理, 漏接(球)
vi. 摸索, 笨手笨脚, 漏球"
impair,"vt. 损害, 减少, 削弱
[法] 损害, 伤害, 减少"
mortify,"vt. 抑制, 苦修, 使受辱
vi. 禁欲, 苦修"
predominant,"a. 占主导地位的, 卓越的
[法] 占优势的, 支配其他的, 主要的"
sanitary,"a. 卫生的
n. 公共厕所"
wallet,"n. 皮夹
[法] 皮包, 皮夹, 钱袋"
warrant,"n. 授权, 正当理由, 根据, 证明, 批准, 凭证, 令状, 委任状
vt. 授权给, 保证, 担保, 批准, 使有正当理由"
allocate,"vt. 分派, 分配
[计] 分配"
brawl,"n. 争吵
vi. 争吵, 哗哗地流水"
cynical,"a. 愤世嫉俗的, 讽刺的, 冷嘲的"
embellish,"vt. 修饰, 装饰, 润色"
gallant,"a. 英勇的, 壮丽的, 华丽的"
immerse,"vt. 沉浸, 使陷入
[医] 浸[入]"
ostentatious,"a. 装饰表面的, 铺张的, 夸示的, 华美的, 显眼的"
presentiment,n. 预感
satiate,"vt. 使饱足, 使厌腻, 充分满足
a. 饱足的, 厌腻的"
undulate,"a. 波动的, 起伏的
vi. 波动, 起伏, 呈波浪形
vt. 使起伏, 使波动"
apparel,"n. 衣服, 外表
vt. 使穿衣, 装饰"
cajole,"vt. 以甜言蜜语哄骗, 勾引"
discard,"vt. 丢弃, 抛弃
vi. 垫牌
n. 垫牌, 抛弃"
effete,"a. 贫瘠的, 枯竭的, 衰微的"
grudge,"n. 怨恨, 恶意
vt. 怀恨, 嫉妒, 吝惜"
kidnap,"vt. 绑架, 诱拐, 拐骗
[法] 拐带, 诱拐, 绑架"
pact,"n. 契约, 协定, 条约
[化] 合同"
pry,"n. 杠杆, 窥探, 好奇者
vi. 打听, 窥探
vt. 撬动, 撬开, 费力得到"
scour,"vt. 擦亮, 洗涤, 清洗, 冲刷成, 急速穿过
vi. 擦, 洗, 冲刷, 腹泻, 急速穿行
n. 擦, 洗, 腹泻, 洗涤剂"
swagger,"n. 大摇大摆, 吹牛, 妄自尊大, 威吓
vi. 虚张声势吓人, 大摇大摆, 吹牛
vt. 吓唬, 恫吓
a. 漂亮的, 时髦的"
vagary,"n. 狂想, 奇特行为, 奇想"
asset,"n. 资产, 有益的东西"
chasm,"n. 陷窟, 裂口"
despoil,"vt. 夺取, 掠夺"
facetious,"a. 滑稽的, 爱开玩笑的"
hurtle,"vi. 猛冲, 碰撞, 突进
vt. 猛撞, 猛投
n. 投掷, 碰撞, 碰撞声"
larceny,"n. 盗窃罪
[经] 盗窃"
pervade,"vt. 弥漫于, 遍及于, 流行于, 蔓延, 渗透于, 充满"
recant,"vt. 放弃
vi. 放弃信仰, 撤回声明, 公开认错"
shambles,"n. 肉店, 屠宰场, 混乱, 废墟"
taboo,"n. 禁忌, 禁止接近, 禁止使用
a. 禁忌的, 忌讳的
vt. 禁忌, 忌讳, 禁止"
trappings,"n. 马饰, 服饰, 礼服, 装饰品, 外部标志"
abdicate,"vt. 正式放弃
vi. 退位, 退出, 辞职"
accrue,"vi. 自然增加, 产生
[经] 应计, 产生, 出现"
badger,"n. 獾, 獾皮毛
vt. 纠缠"
baffle,"vt. 困惑, 为难, 使挫折
vi. 徒作挣扎
n. 迷惑, 挡板"
conjecture,"n. 推测, 猜想, 揣摩
v. 推测, 猜想, 揣摩
[计] 推测; 猜测"
derange,"vt. 扰乱, 使发狂"
fiend,"n. 魔鬼, 邪神, 能手, 成癖者"
pine,"n. 松树, 松木
vi. 消瘦, 憔悴, 痛苦, 怀念, 渴望
[计] 邮件程序"
smother,[网络] 他受到嘉莉母亲的细心护理；的妈妈
throb,"n. 跳动, 搏动
vi. 博动, 抽动, 颤动"
broth,"n. 原汁清汤, 肉汤
[医] 肉汤(培养基)"
crevice,"n. 裂缝
[医] 缝"
demean,"vt. 贬低身分, 贬损"
foster,"a. 收养的, 养育的
vt. 养育, 抚育, 培养, 鼓励, 抱(希望)"
incentive,"n. 动机
a. 激励的"
maze,"n. 迷宫, 迷惘
vt. 使迷惘, 使混乱, 迷失"
pore,"n. 毛孔, 小孔, 气孔
vi. 专心阅读, 细想, 钻研, 沉思, 注视
vt. 使注视得"
rubbish,"n. 废物, 垃圾, 胡说"
speculate,"vi. 深思, 推测, 投机
[经] 投机"
transfix,"vt. 刺穿, 使呆住, 使固定
[医] 贯穿, 刺通"
anomaly,"n. 不规则, 反常事物, 畸形
[医] 异常, 反常"
converge,"vi. 聚合, 集中于一点
vt. 使集合"
duplicate,"n. 副本, 复本, 复制品
a. 复制的, 二重的
vt. 复制, 使加倍
[计] 复制"
epoch,"n. 新纪元, 时代, 时期"
gaunt,"a. 瘦削的, 憔悴的, 荒凉的"
incessant,"a. 不断的, 不绝的, 无尽的"
mute,"n. 哑子, 哑音字母, 弱音器
a. 哑的, 无声的, 沉默的
vt. 减弱...的声音
vi. 排泄"
partisan,"n. 党羽, 虔诚信徒, 同党, 游击队员
a. 党派的, 偏袒的, 效忠的, 献身的, 盲目推崇的"
scan,"n. 审视, 浏览, 扫描, 细查
vt. 细看, 浏览, 扫描, 详细调查, 标出格律
vi. 押韵, 扫描
[计] 网络软件目录, 编码与分析系统"
stab,[网络] 小鼠伤寒抗体；伤寒杆菌抗体
botch,"v. 拙笨地修补, 糟蹋
n. 拙笨的修补, 难看的补缀"
chafe,"n. 擦伤, 气恼
v. 摩擦, 擦痛, 激怒"
dissipate,"vt. 散失, 驱散, 浪费
vi. 消散, 放荡"
efface,"vt. 抹去, 消除, 忘却"
glint,"n. 闪光, 一闪
vi. 闪耀, 闪闪发光, 反射, 迅速移动
vt. 使发光, 使闪光"
onerous,"a. 繁重的, 负有法律责任的
[法] 负有义务的, 艰巨的, 繁重的"
iterate,"vt. 反复说, 重复
[计] 迭代"
propensity,"n. 倾向, 爱好, 习性"
singe,"v. 烧焦, 烤焦"
strut,"n. 高视阔步, 支柱, 压杆
vi. 趾高气扬地走, 肿胀
vt. 用支柱支撑, 炫耀"
unravel,"vt. 阐明, 解决, 解开
vi. 散开"
bellow,v. 怒吼
cloak,"n. 斗蓬, 大氅, 掩护
vt. 遮掩, 隐匿, 使披斗蓬"
devout,"a. 虔诚的, 虔敬的, 诚恳的"
guise,"n. 相似, 外观, 伪装
v. 穿戴, 伪装"
latent,"a. 潜伏性的, 隐藏的
n. 隐约指纹"
pawn,"n. 典当, 抵押物, 人质, (象棋)兵, 马前卒, 工具
vt. 当掉, 以...担保"
quake,"vi. 颤抖, 地震
n. 颤抖, 地震"
salvage,"n. 海上救助, 抢救, 打捞, 抢救出来的财物
vt. 海上救助, 抢救, 打捞, 营救
[计] 文件恢复程序"
sequel,"n. 继续, 续集, 后果
[计] 结构的英语查询语言"
virtual,"a. 实际上起作用的, 虚的, 实质的, 有效的, 事实上生效的
[计] 虚拟"
wizard,"n. 男巫, 术士, 奇才
a. 男巫的, 巫术的
[计] 向导"
admonish,"vt. 警告, 劝告, 训诫, 告诫"
bide,"vt. 等候, 住, 忍耐, 等待"
condone,"vt. 赦, 宽恕
[法] 宽恕, 不咎, 抵销"
designate,"vt. 指定, 指明, 称呼
a. 已选出而未上任的"
fend,"vt. 击退, 保护, 供养"
hardy,"a. 难的, 艰苦的, 坚硬的, 勇敢的
adv. 努力地, 辛苦地, 坚硬地"
limber,"a. 柔软的, 敏捷的, 富于弹性的
vt. 使柔软
vi. 做准备活动"
philanthropy,"n. 慈善, 仁慈, 博爱, 慈善事业, 慈善机构(团体)"
recollect,v. 回忆，想起
smite,"vt. 打；重击；毁灭；侵袭；使神魂颠倒
vi. 打；重击
n. 打；重击"
testimony,"n. 证言, 证据, 声明
[医] 证据"
ale,abbr. additional living expense【保险业】附加生活开支；Association for Liberal Education (英国)文科教育协会
blend,"vt. 混合
n. 混合"
carnivorous,"a. 食肉的
[医] 食肉的"
denizen,"n. 居民, 外籍居民, 外来语
vt. 给...居住权, 移植"
frenzy,"n. 疯狂, 狂暴, 狂怒
[医] 暴怒, 狂乱"
incapacitate,"vt. 使无能力, 使无行为能力
[法] 使无资格, 使无能力, 剥夺资格"
massacre,"n. 大屠杀
vt. 大屠杀, 残杀"
ponder,"v. 沉思, 考虑"
riddle,"n. 谜, 谜语, 粗筛
vt. 解谜, 给...出谜, 筛, 寻根究底地检验, 充满于
vi. 出谜"
spank,"vt. 打, 拍击, 飞跑
vi. 飞跑
n. 拍打, 一巴掌"
totter,"vi. 蹒跚, 动摇
n. 蹒跚的步子"
appease,"vt. 抚慰, 缓解, 平息, 姑息
[法] 使和缓, 使满足, 姑息"
catastrophe,n. 大灾难；大祸；惨败
daunt,"vt. 威吓, 难倒, 使气馁"
gape,"n. 裂口, 张嘴, 打哈欠
vi. 裂开, 张嘴, 打哈欠"
duration,"n. 持续时间, 持续
[计] 持续时间"
implore,"vt. 恳求, 哀求"
muffle,"n. 低沉的声音, 拳击手套, 唇鼻部, 围巾, 头巾
vt. 围裹, 抑制, 发低沉的声音"
prank,"n. 开玩笑, 恶作剧, 戏谑
vt. 盛装, 装饰, 打扮
vi. 炫耀自己"
saunter,"n. 闲逛, 漫步
vi. 闲逛, 漫步"
trickle,"n. 滴, 细流
vi. 滴, 细细地流
vt. 使滴, 使小量流动
[计] 信息透露"
astound,"vt. 使惊骇, 使大惊"
clan,"n. 氏族, 宗族, 集团
[医] 支"
distort,"vt. 扭曲, 歪曲
[法] 歪区, 曲解, 纂改"
entrust,"vt. 信托, 交托, 委托
[经] 委托"
glutton,"n. 暴食者, 酷爱...的人"
invalid,"n. 病人, 残废者
a. 有病的, 无效的"
overtone,泛音
probe,"n. 探索, 调查, 探针, 探测器
v. 用探针探测, 调查, 探索"
shrine,"n. 圣地, 神龛, 庙
vt. 将...置于神龛内"
statute,"n. 法令, 成文法律, 法规, 章程, 条例
[法] 法令, 法规, 成文法"
writhe,"n. 扭动, 盘绕, 苦恼
vt. 扭曲, 缠绕
vi. 蠕动, 扭动身体, 盘绕, 遭受苦难"
behold,"vt. 看到, 注视
vi. 看"
condescend,"vi. 谦逊, 屈就, 堕落"
dike,"n. 堤防
vt. 筑堤防护"
flip,"vt. 掷, 弹, 轻击, 空翻
vi. 用指轻弹, 抽打, 蹦跳
n. 抛, 弹, 筋斗
a. 无礼的
[计] 翻转"
grisly,"a. 可怕的, 厉害的, 令人畏惧的"
knave,"n. 恶棍, 骗徒, (纸牌的)杰克
[法] 流氓行为, 无赖, 恶棍"
parley,"n. 会谈, 谈判
vi. 会谈, 谈判
vt. 讲"
shred,"n. 碎布条, 细片, 少量
v. 撕碎"
surmise,"n. 推测, 猜测
v. 推测, 臆测"
vicissitude,"n. 变化无常, 变迁, 荣枯, 盛衰"
warden,"n. 典狱官, 渔猎法监督官, 看守人
[法] 看守人, 监护人, 管理员"
abhor,"vt. 憎恶, 痛恨, 回避, 拒绝"
boost,"n. 推进, 吹捧
vt. 推进, 提高, 宣扬, 促进"
detention,"n. 阻止, 监禁, 拘留
[医] 隔离, 拘留, 滞留, 停滞"
explicit,"a. 详述的, 清楚的, 直言的"
invidious,"a. 引起反感的, 惹人不快的, 不公平的, 诽谤的"
malign,"a. 有害的, 恶性的, 有恶意的
vt. 诽谤, 说坏话"
potable,"a. 适于饮用的
n. 饮料"
rue,"n. 懊悔, 后悔, 芸香
v. 后悔, 悲伤, 懊悔"
subsist,"vt. 供给食物, 供养
vi. 生存, 存在"
unruly,"a. 难控制的, 无法无天的, 任性的"
agile,"a. 敏捷的, 灵活的, 机敏的"
caprice,"n. 反复无常, 多变, 任性"
disconsolate,a. 郁郁不乐的
fallacy,"n. 错误的观念(或信念), 谬见, 谬论
[医] 错觉, 幻觉, 虚妄"
ingenuous,"a. 坦白的, 正直的, 天真的"
mirage,"n. 海市蜃楼, 幻景, 妄想"
preclude,"vt. 预先排除, 预防, 阻止, 妨碍
[法] 预防, 排除, 消除"
sheer,"a. 绝对的, 全然的, 纯粹的, 透明的, 峻峭的
vi. 偏转, 偏航
vt. 使急转向, 使偏航
adv. 完全, 全然, 峻峭
n. 偏航"
succinct,"a. 简洁的, 紧缩的"
arable,"a. 适于耕种的, 可耕的"
complacent,"a. 满足的, 自满的, 得意的"
dismember,"vt. 割断手足, 支解, 分割"
glee,"n. 欢乐, 高兴"
implicit,"a. 暗示的, 含蓄的, 固有的, 绝对的
[经] 不讲明的, 含蓄的"
mischievous,"a. 淘气的, 有害的, 恶作剧的, 胡搅的"
redundant,"a. 多余的, 过多的, 冗长的
[医] 过多的, 多余的"
solicitude,"n. 焦虑, 关心, 担心, 挂念, 渴望, 担心的事情"
surplus,"n. 剩余, 过剩, 盈余
a. 过剩的, 剩余的"
abate,"vt. 减少, 减轻, 减弱, 废除, 打折扣
vi. 减轻, 减弱, 减少, 失效, 被废除"
consummate,"vt. 完成, 使完美
a. 无上的, 至上的, 完美的"
dwindle,"vi. 减少, 缩小, 衰落
vt. 使缩小"
haphazard,"n. 偶然性, 偶然事件
a. 无计划的, 偶然的, 随便的
adv. 偶然地"
obvious,"a. 明显的, 明白的, 显然的, 平淡无奇的"
overt,"a. 明显的, 公然的, 蓄意的
[法] 明显的, 公开的"
rebuff,"n. 断然拒绝, 严厉拒绝, 漠不关心
vt. 严厉拒绝"
somber,"a. 昏暗的, 阴天的, 严峻的, 忧郁的"
thwart,"a. 横放的
vt. 反对, 阻挠, 横过
prep. 横过
adv. 横过"
vehement,"a. 热烈的, 激烈的"
benign,"a. 善良的, 良性的
[医] 良性的"
degrade,"v. (使)降级, (使)退化"
ephemeral,"a. 朝生暮死的, 短命的, 短暂的
[医] 暂时的"
illiterate,"n. 文盲
a. 目不识丁的, 没受教育的"
lavish,"a. 大方的, 丰富的, 浪费的
vt. 浪费, 滥用, 慷慨给予"
peddle,"vi. 挑卖, 沿街叫卖, 游荡, 闲混
vt. 叫卖, 兜售, 散播"
reprove,v. 再证明
synthetic,"n. 合成物质
a. 综合(性)的, 人造的, 合成的"
unbounded,"a. 无边的, 无限的, 无节制的"
wretched,"a. 可怜的, 不幸的, 卑鄙的"
blithe,"a. 愉快的, 高兴的"
dejected,"a. 沮丧的, 灰心的"
erratic,"n. 古怪的人, 漂泊无定的人
a. 不稳定的, 奇怪的"
immaculate,"a. 无污点的, 纯洁的, 无缺点的, 无辜的
[医] 无斑点, 无瑕疵的, 洁净的"
loathe,"vt. 厌恶, 憎恶"
pensive,"a. 沉思的, 哀思的, 忧郁的"
retard,"vt. 延迟；阻止；妨碍；使减速
vi. 减慢；受到阻滞
n. 延迟；阻止"
stalwart,"n. 健壮的人
a. 高大结实的, 坚定的"
shun,interj. (口号)立正![attention的缩略语]
audible,"a. 听得见的
[电] 可闻的"
auspicious,"a. 吉兆的, 幸运的"
elation,"n. 得意洋洋, 兴高采烈
[医] 得意[洋洋], 高兴"
haughty,"a. 傲慢的, 骄傲的, 崇高的"
jeopardy,"n. 危难, 危险
[法] 危险, 危难, 危险处境"
mandatory,"a. 命令的, 托管的
[经] 受托者, 命令者"
rebuke,"n. 指责, 谴责, 非难
vt. 斥责, 指责, 制止"
sparse,"a. 稀疏的, 稀稀落落的, 稀薄的"
undue,"a. 不适当的, 过度的, 未到期的
[经] 未到(支付)期的"
allay,"vt. 使平静, 使缓和"
carnal,"a. 肉体的, 肉欲的
[医] 肉的, 肉欲的"
defunct,"a. 死的, 不能使用的
n. 死者"
feasible,"a. 能实行的, 可行的, 适宜的
[法] 可行的, 可执行的, 可完成的"
ingenuity,"n. 心灵手巧, 精巧, 精巧设计"
mirth,"n. 欢笑, 欢乐, 愉快"
precarious,"a. 不稳定的, 不安的, 危险的"
preordain,[网络] 预先注定；预先授与
taciturn,"a. 沉默寡言的, 不太说话的, 无言的"
venomous,"a. 有毒的, 恶毒的, 分泌毒液的, 有毒腺的
[医] 毒的, 有毒的"
amiss,"a. 有毛病的, 出差错的
adv. 错误地, 不顺当, 有缺陷地"
comprise,"vt. 包含, 构成"
dissemble,"v. 掩饰, 假装不知道"
glib,"a. 能说善道的, 流畅的"
invincible,"a. 不能征服的, 无敌的"
perfunctory,"a. 敷衍的, 随随便便的, 得过且过的"
replete,"a. 装满的, 充满的, 充实的, 吃饱的"
solicit,"v. 请求, 乞求, 招揽, 征求"
thraldom,"n. 奴隶的身分/地位, 奴役, 束缚
[法] 奴隶身份或地位, 奴役"
wilt,"v. (使)枯萎, (使)衰弱, (使)畏缩
n. 枯萎, 衰弱, 憔悴"
abominable,"a. 讨厌的, 令人憎恶的"
brainy,adj. 聪明的；脑筋好的；有头脑的
deteriorate,v. (使)恶化
exquisite,"a. 精致的, 细腻的, 敏锐的"
incurable,"a. 不能医治的, 不能矫正的, 无救的
n. 不治的病人, 无救的人"
manual,"n. 手册, 指南
a. 手的, 手动的, 手工的, 体力的
[计] 人工的, 手动的"
potential,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位
a. 有潜力的, 可能的, 潜在的"
ruthless,"a. 无情的, 残忍的, 毫不留情的, 彻底的
[法] 无情的, 残忍的"
voluble,"a. 流利的, 健谈的, 易旋转的, 缠绕的"
vociferous,"a. 大声叫的, 喊叫的, 喧嚷的"
bleak,"a. 萧瑟的, 荒凉的, 阴冷的"
castigate,"vt. 惩罚, 苛评, 修订"
enmity,"n. 敌意, 憎恨"
impartial,"a. 公平的, 不偏不倚的
[法] 公正无私的, 不偏袒的, 公平的"
lucid,"a. 明晰的, 清澈的, 透明的, 透彻的
[医] 清明的, 透明的, 清醒的"
perpendicular,"n. 垂直线, 垂直的位置, 直立(姿势), 刚正, 垂规
a. 垂直的, 直立的, 陡峭的"
retrospect,"n. 回顾, 追忆, 回溯
v. 回顾, 追忆"
sagacity,"n. 睿智, 聪敏"
urbane,a. 彬彬有礼的
ardent,"a. 热心的, 激动的, 燃烧般的
[医] 灼热的; 热心的"
derogatory,"a. 贬损的
[法] 毁损的, 减损的"
discretion,"n. 慎重, 辨别力, 考虑, 处理权
[法] 有决定权的"
hilarious,adj. 欢闹的；非常滑稽的；喜不自禁的
paramount,"n. 首长, 最高当局
a. 最重要的, 最高的, 至上的"
recede,[网络] 后退
