ethic,"n. 道德规范, 伦理"
smash,"n. 打碎, 粉碎, 打碎时哗啦声, 猛击, 扣球, 杀球, 经营失败, 破产, 硬币, 假硬币
a. 非常轰动的, 了不起的
vt. 打碎, 粉碎, 击溃, 使破产, 使裂变, 使用假硬币
vi. 碎裂, 猛撞, 破产, 扣球, 杀球
adv. 轰隆一声, 哗啦一声"
countless,"a. 数不尽的, 无数的"
bravely,adv. 勇敢地
trash,"n. 垃圾, 废物
vt. 丢弃"
accidently,adv. 偶然地；意外地
screw,"n. 螺旋, 螺杆, 螺钉, 螺旋桨, 吝啬鬼
vt. 调节, 扭紧, 旋, 拧, 加强, 压榨, 勒索
vi. 转动, 旋, 拧"
glove,[网络] 棒球之爱
chip,[网络] 新电脑；中游晶粒切割；金属切削加工过程中切屑
cosmonaut,n. 宇航员
centimeter,[网络] 公分；厘米
inch,"n. 英寸, 身高, 小岛
vi. 慢慢前进, 慢慢移动
vt. 使缓慢地移动"
scrap,"n. 碎片, 残余物, 些微, 片断, 铁屑, 吵架
vt. 扔弃, 敲碎, 拆毁
vi. 互相殴打
a. 零碎拼凑成的, 废弃的"
whip,"n. 鞭子, 抽打, 车夫, 搅拌器
vt. 鞭打, 搅拌, 煽动, 召集, 仓促制成
vi. 拍击, 急走, 抽打"
nickel,"n. 镍, 镍币, 五分镍币
vt. 镀镍于"
crack,"n. 裂缝, 爆裂声
v. (使)爆裂, (使)裂开, (使)发出爆裂声
a. 第一流的
adv. 啪地一声"
shield,"n. 盾, 防卫物, 保护者, 屏蔽
vt. 保护, 遮蔽, 屏蔽, 庇护, 挡开, 避开
vi. 起保护作用"
heat shield,[化] 防热罩
rip,[网络] 卫非特
hole,"n. 孔, 洞, 穴, 漏洞
vt. 挖洞, 掘坑
vi. 进洞, 凿洞"
panel,"n. 嵌板, 仪表板, 专题讨论小组, 全体陪审员
vt. 嵌镶板"
solar panel,太阳(能)板(指装有太阳电池的平翼)
debris,"n. 碎片, 残骸
[医] 碎屑"
friction,"n. 摩擦, 摩擦治疗, 不和
[医] 摩擦"
particle,"n. 颗粒, 粒子, 质点, 极小量
[化] 粒子; 质点"
atmosphere,"n. 大气, 空气, 气氛
[医] 大气; 大气压"
stuff,"n. 原料, 要素, 东西, 材料, 素质, 织品, 废物, 废话
vt. 装填
vi. 狼吞虎咽"
splash,"n. 飞溅, 污点, 一点儿, 溅泼声, 色斑
vi. 溅湿, 溅开, 飞溅
vt. 溅, 泼, 使溅起水, 洒, 使成斑驳状"
camera,"n. 照相机, 摄影机, 密谈室, 暗箱
[计] 摄影"
lens,"n. 透镜, 镜头, 镜片, 晶状体
vt. 给...摄影"
cap,[计] 压缩音乐文件格式
spacecraft,"[计] 宇宙飞船, 空间飞行器"
spacesuit,[医] 宇宙服
layer,"n. 层, 产卵鸡, 放置者
vt. 分层堆积, 压植
[计] 层"
bullet,"n. 子弹
[医] 弹, 子弹, 距节(马)"
proof,suff. 表示“耐
material,"n. 材料, 物资, 素材, 布料, 资料
a. 物质的, 肉体的, 重要的"
slice,"n. 薄的切片, 一部分, 菜刀
vt. 切成薄片, 切下
vi. 切
[计] 片"
currently,"adv. 现在, 当前, 一般, 普通
[计] 当前"
at work,"在工作, 在运转"
close call,死里逃生
end up,"竖着, 结束, 死"
blow up,"v. 炸掉；爆炸；充气；放大
[网络] 炸毁；发脾气；爆发"
add to,"na. 增加
[网络] 增添；增进；添加"
pile up,"堆积, 积累, 搁浅, 撞毁"
wind up,"na. 解散(公司等)；终止；卷紧；绕紧
[网络] 结束；使紧张；上发条"
on purpose,"故意
[法] 故意地"
throw away,"na. 抛弃；浪费；拒绝(劝告)；失去(机会)
[网络] 扔掉；丢弃；丢掉"
on average, 平均起来
fall back to,落回到
fall back on,"求助于, 退到, 回头再说"
burn up,"烧起来, 烧掉, 发怒"
take place,"na. 发生；举行
[网络] 产生；多指通过人为安排的发生；进行"
clean up,"na. 收拾干净；【机械工程】改正；〔俚语〕赚厚利
[网络] 打扫；打扫干净；清除"
sailboat,n. 帆船
soundtrack,"[计] 声道, 声迹"
horn,"n. 角, 角质, 喇叭, 号角
a. 角制的
vt. 用角触, 长角于"
whir,"n. 呼呼声, 飕飕声
vi. 作呼呼声, 发飕飕声
vt. 使呼呼响"
helicopter,"n. 直升机
vt. 由直升机运送
vi. 乘直升机"
fuss,"n. 大惊小怪, 小题大作, 忙乱
vi. 无事自扰, 焦急, 焦燥, 忙乱
vt. 使激动, 使烦燥"
solo,"n. 独奏, 独唱, 单独表演
a. 单独的, 独奏的, 独唱的
vi. 放单飞"
circumnavigation,n. 世界一周旅行；周游世界
capable,"a. 有能力的, 能的, 能干的"
assume,"vt. 假定, 承担, 呈现
vi. 装腔作势, 僭越"
boating,n. 划船
introduction,"n. 介绍, 传入, 采用, 初步"
shipwright,"n. 造船工人，造船木匠
n. (Shipwright)人名；(英)希普赖特"
harrowing,"a. 痛心的, 悲惨的
[医] 神经纤维松解法"
perilous,"a. 危险的, 濒临毁灭的"
loose,"n. 发射, 放任, 放纵
a. 宽松的, 松的, 宽的, 不牢固的, 散漫的, 自由的, 不精确的
vt. 释放, 放枪, 开船
vi. 变松, 开火
adv. 松散地"
mast,"n. 桅, 桅杆, 杆
vt. 装桅杆于"
deck,"n. 甲板, (汽车后部的)行李仓
vt. 装饰, 打扮, 装甲板
[计] 纸牌背面图案"
strike,"n. 罢工, 打击, 殴打
vt. 打, 撞击, 冲击, 侵袭, 取消, 结算, 打掉, 罢工, 刺透, 使生根, 遇见
vi. 打, 打击, 抓, 罢工, 搏动, 触礁, 敲, 响, 穿透, 打动"
rogue,"n. 恶棍, 流氓, 小淘气
vt. 欺骗
vi. 游手好闲"
unpredictable,"adj. 不可预知的；不定的；出乎意料的
n. 不可预言的事"
abnormal,"a. 反常的, 不规则的, 变态的, 畸形的
n. 畸形的人"
nowhere,[网络] 无处；不在其他任何地方；无何有之处
cling,"vi. 粘紧, 附着, 紧贴, 坚持"
sweep,"n. 扫除, 打扫, 肃清, 视野, 范围, 全胜
vt. 扫除, 掸去, 猛拉, 扫荡, 肃清, 冲走, 刮起, 环视, 掠过, 扫射
vi. 扫, 打扫, 袭击, 席卷, 扫视, 掠过"
overboard,落水
soak,"vt. 吸收，吸入；沉浸在（工作或学习中）；使……上下湿透
vi. 浸泡；渗透
n. 浸；湿透；大雨"
cabin,"n. 小屋, 客舱
vt. 关在小屋"
electrical,"a. 电的, 有关电的
[医] 电的"
pirate,"n. 海盗, 盗印者, 侵犯专利权者
vt. 盗印, 掠夺, 翻印
vi. 做海盗, 从事劫掠"
emerge,"vi. 浮现, 形成, 出现, (事实)显露"
ordeal,"n. 严酷考验, 痛苦经历, 煎熬
[法] 神裁判法, 严酷的考验, 痛苦的经验"
unharmed,"a. 没有受伤的, 没有受害的, 无恙的, 平安的"
collection,"n. 收集, 采集, (一批)收藏品, 募捐
[医] 收集; 收集品, 标本"
DVD,abbr. 数字化视频光盘（Digital Video Disk）
update,"vt. 更新；校正, 修正；使现代化
n. 更新；现代化"
accessible,"a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的"
particularly,"adv. 特别, 格外, 尤其, 详细地, 细致地"
citizen,"n. 市民, 公民
[法] 公民, 国民, 市民"
meantime," 平时, 平均时"
mold,"n. 模子, 模型, 霉
v. 形成, 塑造, 发霉"
capable of, 有…能力（或技能）的，能…的
in part,部分地
up to,"从事于(坏事), 忙于, 胜任, 能做, 适合, 适于"
hold up,"举起, 支撑, 继续下去, 阻挡, 拦截
[法] 支撑, 继续下去, 阻塞"
hold up to,[网络] 容纳；的搭配；拔高到
in danger of,有…的危险
from nowhere,"不知从什么地方
不知从何处
茫然若失（唱片名, From Nowhere）"
cling to,"依附, 依靠, 坚持"
short out,[化] 短路
in the meantime,"同时;当其时,在其间"
finish up,"结束, 完成, 用光"
break the mold,[化] 揭模; 开模
flight,"n. 飞行, 射程, 逃走, 飞跃, 飞机航程, 班机, 迁徙, 飞逝
vi. 迁徙
vt. 射击(飞禽), 为(箭)装上羽毛, 使惊飞"
trinket,"n. 小件饰物, 无价值的琐碎东西, 小玩意儿"
tourist,"n. 观光客, 旅行者
a. 旅游的"
pick-pocket,无
scam,"n. 骗局, 诡计；故事"
rob,[网络] 船上所有
vacationer,n. 休假者；度假者
resort,vt. 使再分类
nation,"n. 国家, 民族
[法] 民族, 国家"
crispy,"a. 卷曲的, 松脆的, 易碎的, 干脆的, 干净利落的, 生气勃勃的"
beach,n. 海滩
alike,[网络] 相等的
select,"a. 挑选出来的, 极好的
v. 选择, 挑选
n. 被挑选者, 精萃
[计] 选定"
untouched,"a. 未触摸过的, 未改变的, 未受影响的"
illusion,"n. 幻影, 错觉, 幻想
[医] 错觉"
establishment,[网络] 现存权力机构；建立期；立业期
veer,"vi. 转向
vt. 使转向
n. 转向"
mainstream, 干流; 主流
facade,"n. 建筑物的正面, 外观, 表面"
integrate,"vt. 综合, 使完整, 使成整体
vi. 成一体
a. 完整的, 完全的"
cultural,"a. 文化的, 教养的, 修养的
[医] 培养的"
expansive,"a. 扩张性的, 使扩大的, 广阔的
[化] 膨胀的; 可以膨胀的"
border,"n. 边缘, 边境, 边界, 花坛
vt. 在...上镶边, 接近
vi. 接界, 近似
[计] 边框"
abroad,"adv. 在国外；到海外
adj. 往国外的
n. 海外；异国"
comparison,"n. 比较, 对照, 比喻
[经] 比较, 对比"
neighboring,"a. 附近的, 邻近的, 邻接的"
neighbouring,"a. 邻近的, 接壤的, 附近的
[法] 邻近的, 附近的, 接壤的"
regional,"a. 地方的, 地域性的
[医] 区的, 部位的"
commercialize,"vt. 使商业化, 使商品化, 使能营利, 在...发展商业
[经] 使商业化, 使商品化, 在...发展商业"
tourism,"n. 观光业, 游览
[经] 旅游业"
misconception,n. 误解
apart, 一份；一部分
cater,"v. 提供饮食及服务, 投合, 迎合"
middle-class,无
upper-class,无
amongst,"prep. 在...当中, 在...之间, 在...之中"
inkling,"n. 暗示, 微微觉得"
a great deal,大量
buy up,"na. 囤积；整批收购；购进(其他公司)
[网络] 尽可能买进；全部买进；全部买下"
in other words,换句话说
let alone,"na. 任随；更不用说；放任；莫说…(连)
[网络] 更别提；更不必说；不管"
in comparison, 相比之下
it comes to,无
cater to,迎合
go back to,回去
master,[网络] 主设备；万事达
exception,"n. 例外, 除外, 异议
[计] 例外; 异常"
extraordinary,[网络] 寻常領域；超凡；非常规
knowledgeable,"a. 聪明的, 有知识的"
distinguished,"a. 卓著的, 著名的"
metaphor,n. 隐喻
X-ray,无
vision,"n. 视觉, 眼光, 视力, 幻想
vt. 梦见, 想象, 显示"
tailor,"n. 裁缝, 成衣匠
vt. 缝制, 制作, 使适应
vi. 做裁缝"
instruction,"n. 指令, 教导, 命令
[计] 指令"
conceptual,"a. 概念的
[医] 概念的"
capability,"n. 能力, 性能, 约束力
[化] 能力"
precise,"a. 精确的, 严谨的, 明确的
[机] 精密的, 正确的"
enable,"vt. 使能够
[计] 允许, 使能, 打开"
performance,"n. 施行, 工作情况, 成绩, 行为, 表现, 演出
[电] 绩效, 性能"
peak,"n. 山峰, 巅, 山顶, 顶点, 尖峰, 帽舌
a. 最高的, 最大值的
vi. 到达最高点, 消瘦, 变憔悴, 逐渐缩小
vt. 使竖起, 使达到最高点"
innate,"a. 先天的, 天生的
[医] 先天的, 生来的"
talented,"a. 天资高的, 有才能的"
refine,"vt. 精炼, 净化, 使优雅, 使精炼
vi. 被精炼, 被净化"
polish,"a. 波兰的
n. 波兰人, 上光剂, 光泽, 优雅
vt. 擦亮, 擦去, 使完美
vi. 擦亮, 变得光亮"
initial,"n. 字首, 首字母
a. 开始的, 最初的, 字首的
vt. 用姓名的首字母签名"
personalize,"vt. (贬)使个人化, 体现, 使人格化, 在(物品)上标明姓名/标出地址/标出记号"
violin,n. 小提琴
century,"n. 世纪, 百年"
violinist,"n. 小提琴演奏者, 小提琴家"
individually,"adv. 以个人身分, 各个地, 独特地"
bow,[网络] 兵器；生化武器；生化兵器
idiosyncrasy,"n. 气质, 特性, 风格
[化] 特异反应; 特异性体质"
nurture,"n. 养育, 营养物, 培育
vt. 养育, 供给营养物, 教养"
shortcut,"n. 近路, 捷径"
premier,"n. 总理, 首相
a. 首位的, 最初的"
cellist,"n. 大提琴手；大提琴演奏者
[网络] 大提琴家；大提琴演奏家；大提琴独奏"
instrument,"n. 工具, 手段, 仪器
[化] 仪器"
accelerate,"v. 加速, 促进"
heighten,"vt. 增高, 提高, 加强
vi. 升高, 变大"
curve,"n. 曲线, 弯曲, 曲线球
vt. 弯, 使弯曲
vi. 成曲形"
constitute,"vt. 构成, 组成, 任命
[建] 构造, 组成"
self-directed,无
progress,"n. 进步, 发展, 前进
vi. 进步, 进行"
scream,"n. 尖叫声
vi. 尖叫, 大笑, 尖啸, 令人震惊
vt. 尖叫着说, 大叫大嚷着要求"
outrageous,"a. 暴虐的, 极无礼的, 可恶的"
gentle,"a. 温和的, 文雅的"
mentor,门托(美国俄亥俄州东北部城市)
individual,"n. 人, 个人, 个体
a. 个别的, 个人的, 独特的"
inherent,"a. 固有的, 与生俱来的
[医] 固有的, 生来的"
Spanish,"n. 西班牙人, 西班牙语
a. 西班牙的"
diva,"n. 歌剧女主角/首席女主角, 主要女歌手"
resonance,"n. 共鸣, 回声, 反响, 谐振, 共振
[化] 共振; 共鸣"
clone,"n. 无性系
[计] 代用件"
copy,"n. 副本, 摹仿, 一册
v. 复印, 抄袭, 复制
[计] 副本; 复制; DOS内部命令:复制文件
将几个文件合并成一个文件, 以及将文件传至外设或在设备之间传送"
tuba,"n. 大号
[医] 管"
pursue,"vt. 追赶, 追踪, 追随, 追求, 实行, 继续, 从事
vi. 追赶, 继续"
famed,"a. 著名的, 闻名的"
tenor,[网络] 语旨
modestly,adv. 适当地；谨慎地
barely,adv. 几乎不
cello,"n. 大提琴
[网络] 大提琴演奏；鬼提琴；骑楼"
forbid,"vt. 禁止, 不准, 妨碍
[法] 不许, 禁止, 阻止"
prize,"n. 奖赏, 奖金, 奖品, 战利品, 捕获
a. 得奖的
vt. 珍视, 估价, 捕获, 撬, 撬动"
perfectionist,"n. 至善论者, 过分挑剔者, 追求尽善尽美者, 圆满论者"
severe,"a. 严格的, 尖锐的, 严肃的, 严重的, 严厉的, 朴素的
[法] 严厉的, 苛刻的, 严重的"
satisfy,"vt. 使满意, 满足, 符合, 使确信, 赔偿
vi. 令人满意, 替人赎罪"
output, [林]出材率
ovation,"n. 热烈欢迎, 大喝采, 小凯旋式"
strive,"vi. 努力, 奋斗, 斗争"
perfection,"n. 完美, 完成, 极端
[经] 完整性"
clarinetist,n. 吹木箫者
without exception,无例外地
sort of,有几分地
reflect on,"深思, 反省, 导致, 招致非议"
attend to, 处理; 注意; 听取; 致力于
draw out,"na. 抽出；拔出；掏出；提出
[网络] 拉长；取出；拉出"
have nothing to do with,与...无关
be satisfied with,对...感到满意
subject,[网络] 主体；对象；主题
engineering,"n. 工程学, 工程, 操纵
[化] 机器; 机器学"
salary,"n. 薪水
vt. 给...加薪"
tutor,"n. 家庭教师, 导师, 助教, 监护人
vt. 当...的教师, 教, 指导, 约束, 克制
vi. 当家庭教师, 受家庭教师的指导"
grade," 表示“走, 动, 行”, “某种走动、移动的样子”"
smoothly,"adv. 平滑地, 流畅地, 流利地"
enforce,"vt. 强迫, 执行, 坚持
[经] 予以强制执行"
disciplinary,"a. 训练的, 纪律的, 训诫的
[法] 纪律的, 惩戒性的"
conference,"n. 会议
[经] 会议, 讨论会, 协商会"
assess,"vt. 估定, 对...征税, 评定
[经] 估计, 估价, 确定(税款罚款等)的金额"
principal,"n. 校长, 首长, 本金, 主犯, 资本, 委托人
a. 主要的, 最重要的, 首要的"
flexible,"a. 易曲的, 灵活的, 柔顺的, 能变形的, 可通融的
[医] 能屈的"
staff,"n. 全体人员, 工作班子, 棍棒, 杆, 拐杖, 支柱, 权杖
a. 职员的, 雇员的, 参谋的
vt. 为...配备人员"
rural,"a. 乡下的, 田园的, 乡村风味的
[法] 农村的, 乡村的, 有关农业的"
suburban,[网络] 城市的近郊地区；城外
urban,"a. 都市的, 住在都市的, 习惯于都市的
[法] 城市的, 都市的, 市区的"
preschool,"a. 学龄前的, 入学前的"
elementary,"a. 初步的, 基本的
[医] 元素的, 基础的, 初级的"
art,"n. 艺术；技术；技巧；表演艺术
v. 对一人讲话时用
[网络] 艺术(Artistic)；美术；辅助生殖技术(assisted reproductive technology)"
counseling,n. 咨询服务
patience,"n. 耐性, 忍耐"
administrator,"n. 管理人, 行政官
[经] 遗产管理人员"
hundredth,a. 第一百的
creativity,"n. 创造力, 创造性"
admit,"vt. 承认, 接受, 允许进入, 容许
vi. 开向, 容许, 承认"
mix,"n. 混合物, 混乱, 糊涂
vt. 使混合, 弄混, 使结合, 混淆
vi. 相混合, 交往, 参与"
bored,a. 无聊的；烦人的；无趣的
walk up,"沿...走, 走上"
think of,"考虑, 关心, 想起, 记起, 想像, 有...的看法"
relate to,"na. 有关联；与…有关；理解
[网络] 涉及；与…有联系；与……有关联"
relate A to B,无
be sick of,"厌恶, 厌倦"
mix up,"na. 调匀；混淆；使结交坏朋友；【拳击】猛烈互击
[网络] 混合；搞糊涂；混合在一起"
upstairs,"na. 在[向]楼上
[网络] 上楼；由此上楼；下楼梯"
architect,"n. 建筑师, 设计者, 缔造者"
propose,"vt. 计划, 打算, 建议, 提议, 求(婚)
vi. 打算, 求婚"
hyper-structure,无
structure,"n. 结构；构造；体系；结构体
v. 使形成体系；系统安排；精心组织
[网络] 建筑物；组织结构；市场结构"
proponent,"n. 建议者, 支持者
[法] 提议者, 辩护者, 支持者"
sprawl,"vi. 伸开手足躺, 爬行, 蔓生, 蔓延
vt. 懒散地伸开, 使蔓生, 使不规则地伸展
n. 伸开手足躺卧姿势"
dwindle,"vi. 减少, 缩小, 衰落
vt. 使缩小"
landscape,地景
erect,"a. 直立的, 竖立的, 笔直的
vt. 使竖立, 使直立, 树立, 建立
vi. 勃起"
board,"n. 木板, 甲板, 膳食, 会议桌
vt. 乘船, 供膳食, 用板覆盖
vi. 搭伙
[计] 板"
immense,"a. 极广大的, 无边的, 非常好的"
equally,"adv. 相等地, 同样地, 平等地"
technological,"a. 技术的
[经] 工艺的, 技术的"
ambitious,"a. 有野心的, 抱负不凡的, 雄心勃勃的"
dizzy,"a. 晕眩的, 眼花缭乱的
vt. 使晕眩"
sway,[网络] 在…的路上；终极手段；挤出一条路
breeze,"n. 微风, 煤屑, 轻而易举的事
vi. 吹微风, 逃走"
pedestrian,"n. 行人, 步行者
a. 人行的, 徒步的, 呆板的, 通俗的, 平淡无奇的"
pendulum,"n. 钟摆, 摇锤, 摇摆不定的事态(或局面)
[化] 摆"
cancel,"n. 取消, 撤消, 盖销(邮票)
vt. 取消, 删去, 抵销, 盖销
vi. 相互抵销
[计] 作废"
induce,"vt. 引诱, 招致, 归纳出, 感应
[医] 诱导, 感应"
twist,"n. 一扭, 扭曲, 曲折, 歪曲, 螺旋状, 新手法
vt. 拧, 扭, 捻, 编织, 使扭转, 缠绕, 盘绕, 歪曲, 使转动, 使苦恼, 使混乱, 使旋转
vi. 转向, 弯曲, 缠绕, 扭动, 呈螺旋形"
corkscrew,[化] 螺旋拨塞器
relieve,"vt. 减轻, 救济, 解除, 使免除, 换...的班, 使得到调剂, 使不单调, 衬托, 使显著
vi. 救济, 当替补投手, 呈鲜明突出"
gust,"n. 突然一阵, 趣味, 爱好"
population,"n. 人口, 人口数
[化] 群体; 总体"
eco-friendly,无
skyscraper,"n. 摩天大楼
[网络] 擎天柱；擎天柱广告；搔天之塔"
conduct,"n. 行为, 举动, 指导
vt. 为人, 指挥, 管理, 实施
vi. 领导, 传导, 指挥"
resident,"n. 居民, 常驻程序, 居住者, 留鸟
a. 居留的, 定居的"
piston,"n. 活塞, 活塞阀键
[医] 活塞(如注射器的)"
dozen,"n. 打, 十二个
a. 一打的"
Japanese,"n. 日本人, 日语
a. 日本的, 日语的"
omni-vator,无
via,"prep. 取道，通过；经由
n. (Via)人名；(意、孟)维亚"
heliport,"n. 直升机机场
[法] 直升机场"
disaster,n. 灾难，灾祸；不幸
terrorism,"n. 恐怖主义, 恐怖统治, 恐怖状态
[法] 胁迫, 暴政, 恐怖政治"
threat,"n. 恐吓, 恶兆, 威胁
[经] 威胁"
exit,"n. 出口, 退场, 离去, 去世
vi. 退出, 脱离, 去世
[计] 退出; DOS内部命令:本命令用于退出当前的命令处理器(COMMAND.COM)
恢复前一个命令处理器"
corridor,"n. 走廊, 回廊, 人口密集地带"
vulnerable,"a. 易受伤害的, 有弱点的, 易受影响的, 脆弱的, 成局的
[医] 易损的"
float,"n. 漂流物, 浮舟, 漂浮, 浮萍, 彩车
vi. 浮动, 飘动, 散播, 摇摆, 动摇, 浮动
vt. 使漂浮, 容纳, 淹没, 发行, 实行
[计] 浮动"
high-tech,无
foundation,n. 基础；地基；基金会；根据；创立
beneath,"prep. 在...下方
adv. 在...下方"
occupant,"n. 占有者, 居住者, 占用者"
alienate,"vt. 使疏远, 离间, 转让
[法] 转让, 让与, 疏远"
construct,"vt. 构造, 建造, 对...进行构思, 作图
n. 构成物"
endless,"a. 不停的, 无穷尽的, 无尽的
[机] 无端的, 环状的"
identical,"a. 同一的, 恒等的, 完全相同的
[医] 同一的, 同等的"
mall,n. 林荫路
recreational,"a. 消遣的, 娱乐的"
good thing,"好事情,人们赞许的事情,幸运的事情"
on the drawing board,"在设计阶段,在筹划之中"
rise to the challenge,接受挑战
rise to the occasion,应付自如
speak of,"谈到..., 论及..."
dozens of,"几十个,数十个;许多…"
up and down,"上下地, 到处"
from side to side,左右摇晃
in the event of,"如果...发生
[法] 如果...发生"
cut off,"na. 削除；截止；截断(退路等)；割下来
[网络] 切断；断绝；切掉"
pyramid,"n. 角锥, 金字塔
v. (使)成金字塔状, (使)渐增, (使)上涨"
alter,v. 改变
dynamic,"a. 动态的, 有活力的, 有力的, 动力的, 不断变化的
n. 动力, 动态
[计] 动态的"
constant,"n. 常数, 恒量
a. 不变的, 一定的, 时常的
[计] 常量; 常数; 恒值"
motion,"n. 移动, 手势, 动作, 意向, 请求, 提议
v. 打手势"
rotate,"a. 辐状的
vt. 使旋转, 使转动, 使轮流
vi. 旋转, 循环
[计] 旋转"
independently,"adv. 独立地, 自立地"
forever,"永远, 老是"
invisible,"a. 看不见的, 无形的
[经] 无形的, 表面上看不见的, 未列在公开帐目的"
activate,"vt. 使活动, 使激活, 正式建成
vi. 有活力"
luxury,"n. 奢侈, 豪华
a. 奢侈的, 豪华的"
indoor,[网络] 室内；门内做法
entrance,"n. 入口, 进入点, 入场, 入学, 进入, 开始(阶段), 就任
vt. 使出神, 使入迷
[计] 入口"
descend,"vi. 下降, 世代相传, 屈尊, 袭击
vt. 下降"
generate,"vt. 产生, 发生, 导致
[电] 产生"
windmill,[机] 风车
horizontally,[计] 水平置中
capture,[网络] 利益集团捕获
combine,"v. (使)联合, (使)结合
n. (企业的)联合, 联合收割机"
enormous,"a. 巨大的, 庞大的"
core,comb.form 表示“…类别的摇滚乐”：queercore
cylinder,"n. 圆筒, 圆筒状物, 汽缸, 柱面
[计] 柱面"
plumbing,"n. 测深, 管子工行业, 管道设备"
segment,"n. 片段, 部分, 分节, 段
v. 分割, 分裂
[计] 段"
furniture,"n. 家具, 帆具"
attach,"vt. 附上, 使依附, 使附属, 使喜爱, 系, 缚
vi. 附属, 归属, 联系在一起
[计] 挂接服务器命令, 关联, 挂接, 附加"
fantasy,"n. 幻想, 想象的产物
[医] 幻想"
consist,"vi. 组成, 存在于, 一致"
numerous,"a. 很多的, 数目众多的, 多数的
[机] 多数的, 甚多的"
movement,[网络] 运动；活动化；移动
call out,"召唤...行动, 唤起, 大声叫唤"
dive into,"把手伸入, 投入, 钻研"
next to,几乎
hop into,跳进
go off,"离开, 去世, 消失, 爆炸, 被发射, 变质, 进行, 睡去, 卖掉"
at a time,"每次, 在某时"
consist of,由...组成
put together,"na. 编辑；拼拢；比较考虑；使结婚
[网络] 装配；把……放在一起；加在一起"
code,"n. 代码, 密码, 法规, 法典
vt. 把...编码
[计] 代码"
ABC,[网络] 美国广播公司；有；正确的是
individuality,"n. 个性, 个人, 特征"
conformity,"n. 遵照, 适合, 一致, 相似
[计] 符合度"
maturity,"n. 成熟, 完备, 到期
[医] 成熟, 成熟期, 发育期"
appearance,n. 外貌，外观；出现，露面
wishy-washy,无
rehearsal,"n. 预演, 排演, 练习, 叙述, 复述
[法] 详述, 列举事实, 复述"
comedian,n. 喜剧演员
contagious,"a. 触染性的, 会蔓延的
[医] (接)触(传)染的"
infect,"vt. 传染, 感染
[医] 传染, 感染"
pleasurable,"a. 快乐的, 愉快的, 舒适的, 心情舒畅的"
curb,"n. 抑制, 勒马绳, 边石
vt. 抑制, 束缚, 勒住"
victory,"n. 胜利, 战胜, 克服"
shame,"n. 羞耻, 羞愧, 耻辱
vt. 使羞愧, 侮辱"
giver,
taker,"n. 接受者；接受打赌的人；捕获者
n. (Taker)人名；(英)塔克"
compliment,"n. 恭维；称赞；问候；致意；道贺
vt. 恭维；称赞"
string,"n. 线, 细绳, 一串, 字符串
vt. 串起, 成串, 收紧, 缚, 扎
vi. 成一串
[计] 字符串, 串"
joyfulness,n. 欢喜;高兴;快乐
joyful,"a. 欢喜的, 高兴的, 令人高兴的"
clerk,"n. 办事员, 职员, 文书
vi. 当店员"
receptionist,n. 接待员
lifelong,"adj. 终身的
[网络] 终身险；终身服用；是长寿"
proportionately,"adv. 成比例地, 相称地"
for life,"na. 终身；为逃[保]命
[网络] 终生；一生；为了生命"
in progress,"在进行,在执行,在发生"
hold back,"na. 阻止；踌躇；隐瞒；抑制
[网络] 退缩；控制；退缩不前"
set back,"na. 阻碍；延迟；〈非正式〉花费
[网络] 推迟；推迟，延缓；使退步"
moment of truth, 斗牛中的最后一剑
at one's best,处在最佳状态
get in the way,"挡住去路,障碍,碍事"
make one's day,[俚语]使满意…；给…带来幸福
make sb.'s day,使某人的一天非常高兴
reach out to,[网络] 接触；把手伸向；联系
be done with,[口语]；做完，结束；(使用)完毕的；了结的；与…了结关系，不再同…打交道
grieve,"vt. 使悲伤
vi. 悲痛, 伤心"
gloss,"n. 光彩, 假象, 注释
vt. 使光彩, 掩盖, 上光于, 注释, 曲解
vi. 发光, 作注释"
overindulgence,[网络] 过于放纵；因过度放纵；过度放任
risky,a. 危险的
toxic,"a. 有毒的, 中毒的
[医] 中毒的, 毒物的"
seize,"vt. 抓住, 逮捕, 俘获, 没收, 扣押, 掌握
vi. 突然抓住, 利用"
appreciate,"vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏
vi. 增值, 涨价"
virtue,"n. 德行, 美德, 优点, 功效, 效力
[法] 美德, 贞操, 优点"
quantity,"n. 量, 数量, 总量
[计] 数量; 量"
gossip,"n. 闲聊, 随笔, 流言, 爱讲闲话的人
vi. 说闲话, 闲聊"
backbiter,n. 背后诽谤者
cultivate,"vt. 培养, 耕作"
measure,"n. 尺寸, 量度器, 量度标准, 测量, 量具, 程度, 范围, 限度, 分寸, 措施, 方法
vt. 测量, 测度, 估量, 权衡, 调节, 拿(自己或自己的力量等)作较量
vi. 度量"
title,"n. 头衔, 名称, 标题, 书名, 扉页, 权利, 资格, 冠军, 字幕
vt. 授予头衔, 加标题于
[计] 标题"
possession,"n. 拥有, 占有, 所有, 财产, 领土, 领地, 自制, 着迷
[经] 占有, 持有"
compare,"vt. 比较, 比喻, 对照
vi. 相比
n. 比较
[计] 比较"
thankful,"a. 感谢的, 感激的, 欣慰的"
regardless,"a. 不管, 不注意, 不顾"
legal,"a. 法律的, 法定的, 合法的
[经] 法定权利; 法律(上)的, 合法的"
honorable,"a. 值得尊敬的, 荣耀的, 高贵的"
