rubbish,"n. 废物, 垃圾, 胡说"
provide,"vt. 提供；规定；准备；装备
vi. 规定；抚养；作准备"
anyway,无论如何
depend,"vi. 靠, 视...而定, 信赖"
depend on,"依靠, 依赖"
develop,"vt. 发展, 使发达, 进步, 洗印, 显影
vi. 发展, 生长"
independence,"n. 独立, 自立, 自主
[医] 自主性, 独立性"
fairness,[地名] 费尔岬 ( 加 )
since,"prep. 自...以后, 自...以来
adv. 自那时以后
conj. 既然, 自...以后, 自...以来"
neighbor,"n. 邻居
vt. 邻接
vi. 毗邻而居, 友好
a. 邻近的"
take care of,"照顾
[法] 抚养, 赡养, 扶养"
ill,"我将, 我会（=I shall）"
drop,"n. 滴, 微量, 落下, 空投
vi. 放下, 掉下, 下降
vt. 使滴下, 放下, 丢失, 遗漏
[计] 投入, 投入点, 接入点, 分接点"
independent,"adj. 独立的；自主的；自治的；不相干的人所做的（或提供的）
n. 无党派议员（或候选人等）
[网络] 有主见的；独立报；独立自主的"
fair,"n. 展览会, 市集, 美好的事物
a. 公平的, 按规则进行的, 不好不坏的, 晴朗的, 美丽的
adv. 公平地, 正面地, 有教养地, 清楚地
vi. 转晴"
unfair,"a. 不公平的, 不正直的, 不正当的
[法] 不正直的, 不公平的, 偏颇的"
Sandy,"a. 沙的, 沙地的, 多沙的"
allow,"vt. 允许, 同意给予, 承认
vi. 容许, 猜想
[计] 允许命令"
wrong,"a. 错误的, 不正当的, 失常的
adv. 错误地"
What's wrong?,怎么了
midnight, [医]人定
look through,"看穿, 审核, 浏览, 透过...看去, 从...中显露"
guess,"n. 猜测, 臆测
v. 猜测, 臆测"
deal,"n. 交易, 协定, 数量, 买卖, 松木板
vi. 处理, 应付, 做生意
vt. 分配, 发牌, 给予
[计] 发牌"
big deal,"n. [美国俚语]名人, 要人, 要员, 大人物; [轻蔑语, 常用作反语, 表示不赞同]了不起的事, 极其重大的事"
work out,"v. 作出；拟定；制定；计划一下
[网络] 算出；解决；制定出"
get on with, 继续（干某事）; 和…友好相处
relation,"n. 关系, 联系, 叙述, 故事, 家属, 亲戚
[计] 关系"
communication,"n. 交流, 交通, 通讯
[计] 通信"
argue,"vi. 提出理由, 争论, 辩论
vt. 主张, 辩论, 证明, 说服"
cloud,"n. 云, 阴暗, 烟雾, 疑团
vt. 以云遮敝, 笼罩, 使黯然
vi. 乌云密布, 阴沉"
elder,"n. 年长者, 老人, 前辈
a. 年长的, 资深的"
instead,"adv. 作为替代, 反而"
whatever,"adj. 不管什么样的
pron. 无论什么；诸如此类
conj. 无论什么"
nervous,adj. 神经的；紧张不安的；强健有力的
offer,"n. 给予(物), 出价, 提议, 意图, 报价
vt. 提供, 出价, 奉献, 试图, 使出现, 演出
vi. 出现, 献祭, 提议, 求婚"
proper,[网络] 自我辩护；专业辩护；正确的
secondly,"adv. 第二, 其次"
communicate,"vt. 显露, 传达, 感染
vi. 通讯"
explain,[网络] 解释
clear,"a. 清楚的, 明确的, 澄清的
adv. 清晰地
vt. 澄清, 清除障碍
vi. 放晴, 变清澈
n. 空隙
[计] 清除"
copy,"n. 副本, 摹仿, 一册
v. 复印, 抄袭, 复制
[计] 副本; 复制; DOS内部命令:复制文件
将几个文件合并成一个文件, 以及将文件传至外设或在设备之间传送"
return,[网络] 返回；归回
anymore,(不)再
member,"n. 成员；会员；分子；身体部位（尤指胳膊或腿）
[网络] 会员中心；委员；构件"
pressure,"n. 压, 榨, 按, 强制, 压力, 压迫, 压强
vt. 迫使, 使增压, 密封"
compete,"vi. 竞争, 对抗"
opinion,"n. 意见, 评价, 主张
[经] 意见"
skill,"n. 技术, 技巧, 技能, 熟练, 熟练工人
[化] 技能"
typical,"a. 典型的, 象征性的
[医] 典型的"
football,[网络] 足球；橄榄球；美式橄榄球
cut out,"na. 割掉；除去；剪下；开辟
[网络] 停止；删除；切掉"
quick,"a. 快的, 迅速的, 敏捷的, 灵敏的, 急速的
adv. 快
n. 新长出的肉, 要害, 核心, 感觉敏锐部位"
continue,"vi. 继续, 延续, 延长
vt. 使继续, 使延长"
compare,"vt. 比较, 比喻, 对照
vi. 相比
n. 比较
[计] 比较"
compare ... with,"比较…,跟…相比,比得上…"
crazy,adj. 疯狂的；狂热的，着迷的
push,"n. 推, 推动, 奋斗, 攻击, 进取心
vt. 推, 推动, 使伸出, 推行, 逼迫, 增加
vi. 推, 推进, 增加, 努力争取"
development,[网络] 开发；的发展；不断发展
cause,"n. 原因；事业；病因；理由
v. 导致；使；引起；产生"
usual,"a. 平常的, 通常的"
in one's opinion,"na. 据某人意见
[网络] 在……看来；在某人看来；就某人看来"
perhaps,"adv. 也许；可能
n. 假定；猜想；未定之事"
Cathy,n. 凯茜（女子名）
Taylor,n. 泰勒
rainstorm,n. 暴雨
alarm,"n. 惊恐, 警报, 警钟
vt. 使惊恐, 警告
[计] 报警信号"
go off,"离开, 去世, 消失, 爆炸, 被发射, 变质, 进行, 睡去, 卖掉"
begin,"v. 开始
[计] 开始"
heavily,"adv. 很重地, 严重地, 难以忍受地"
suddenly,adv. 突然地；忽然
pick up,"v. 拾起；探出；重新开始
[网络] 捡起；拿起；学会"
pick up the phone,[网络] 拿起电话；接电话；接起电话
strange,"a. 奇怪的, 陌生的, 生疏的, 不熟悉的, 不可思议的, 外行的, 外地的, 异乡的"
storm,"n. 暴风雨, 骚动, 风波, 风暴, 猛攻
vi. 起风, 猛冲, 怒吼
vt. 猛攻"
wind,"n. 风, 气息, 气味, 呼吸, 风声, 趋势, 空谈, 卷绕, 弯曲
vt. 使通风, 嗅出, 使喘气, 吹号角, 上发条, 缠绕, 包, 绞起, 吊起, 使弯曲, 使迂回
vi. 嗅出猎物, 吹响号角, 卷曲, 蜿蜒, 迂回, 缠绕"
light,"n. 光, 光亮, 灯, 日光, 发光体, 光源, 杰出人物, 火花, 眼光
a. 轻的, 少量的, 轻微的, 轻快的, 轻浮的, 明亮的, 淡色的, 容易的
vt. 点燃, 照亮
vi. 点着, 变亮, 突降, 偶然碰到
adv. 轻地"
report,[网络] 所决定的；再搬运一次
area,"n. 区域, 面积, 范围, 空地
[计] 区域"
wood,"n. 木材, 木制品
vt. 植林于, 给...添加木柴
vi. 收集木材"
window,[网络] 学习环境
flashlight,[电] 闪光灯
match,"n. 比赛, 火柴, 对手
vt. 使相配, 使比赛, 与...竞争
vi. 结婚, 相配
[计] 比较"
beat,"从事于,做"
against,"prep. 反对, 对着, 倚靠"
asleep,"a. 睡着的, 长眠的, 麻木的
adv. 熟睡地"
fall asleep,"入睡, 长眠, 懈怠, 静止不动"
die down,"枯萎, 凋谢"
rise,"n. 上升, 增加, 上涨, 高地, 升高, 出现
vi. 升起, 起身, 起立, 上升, 上涨, 增长, 高耸, 起义, 浮现
vt. 使飞起"
fallen,"a. 堕落的, 落下来的, 陷落的
fall的过去分词"
apart, 一份；一部分
have a look, 看一看
icy,"a. 冰的, 冰冷的, 冷淡的, 滑溜的"
kid,[网络] 基德
realize,"vt. 了解, 实现, 使显得逼真, 变卖
vi. 变卖"
make one's way,"前进, 行进, 成功, 发迹"
passage,"n. 一段（文章）；走廊；通路
n. (Passage)人名；(英)帕西奇；(法)帕萨热"
pupil,"n. 学生, 门生, 未成年人, 瞳孔
[医] 瞳孔"
completely,"adv. 完全地, 十分地, 圆满地"
shocked,a. 震撼的；震惊的
silence,[网络] 汪苏泷
in silence,沉默着
recently,adv. 最近
take down,"na. 扯下；卷起；记下；卸下
[网络] 拿下；取下；拆卸"
terrorist,"n. 恐怖分子
[法] 恐怖份子, 恐怖主义"
date,"n. 日期, 约会, 枣椰树
vt. 约会, 定日期
vi. 注明日期, 过时"
tower,"n. 塔, 高楼, 堡垒
vi. 高耸, 翱翔"
at first,起先
truth,"n. 事实, 实情
[法] 真实, 真相, 事实"
Allen,n. 艾伦（男子名）
Martin,[网络] 马丁；李家诚；最后一句话可以换掉
Alabama,n. 亚拉巴马州
Animal Helpline,无
World Trade Center,"n. 【旅】世界贸易中心
[网络] 世贸中心；纽约世界贸易中心；世贸大厦"
shoot,"n. 射击, 狩猎, 芽, 射伤, 发射, 发芽, 急流, 推力, 摄影, 急送, 滑运道, 浪费
vt. 射击, 射中, 损毁, 拍摄, 喷出, 投射, 挥出, 飞速行进, 挥霍, 给...注射
vi. 射出, 射击, 发出, 拍电影, 射门, 发芽"
stone,"n. 石；结石；宝石；岩石
v. 向…投石头；以石掷向；去除(水果的)硬核
adj. 石制的
adv. 石一般的
[网络] 四通；石块；石材"
weak,"a. 不牢固的, 弱的, 虚弱的, 软弱的, 无力的, 无权力的, (论据等)不充分的
[经] 疲软的"
god,[网络] 住好啲；上帝
remind,"vt. 提醒, 使想起"
bit,"n. ☉一点，一些；小片，小块；小段，片段；部分；少许，有点，一点儿，微量，少量[常与a连用，起副词作用]
adj. 很小的，微不足道的
adv. [口语]相当，有点儿，或多或少，多少[a bit to的省略]"
a little bit,"有点,些许"
silly,"a. 愚蠢的, 糊涂的"
instead of,代替
turn ... into,[网络] 了解
object,"n. 物体, 目标, 目的, 对象, 宾语, 客体
vi. 反对, 抱反感
vt. 提出...来反对
[计] 对象"
hide,"n. 兽皮, 迹象, 躲藏处
vt. 藏, 隐瞒, 遮避, 剥...的皮, 隐藏
vi. 躲藏
[计] 隐藏"
tail,"n. 尾部, 后部, 辫子, 随员, 特务, 燕尾服, 踪迹, 限定继承(权)
a. 在后面的, 从后面而来的, 限定继承的, 尾部的, 后部的
vt. 为...装尾, 附于其后, 尾随, 使搭牢, 跟踪, 监视
vi. 跟踪, 船尾搁浅"
magic,"n. 魔术, 魔法
a. 魔术的, 有魔力的, 不可思议的"
stick,"n. 棍, 棒, 刺, 枯枝, 茎, 条状物
vt. 插进, 刺入, 钉住, 伸出, 粘贴, 停止
vi. 粘住, 停留, 坚持, 陷住, 伸出"
excite,"vt. 刺激, 使兴奋, 激励"
Western,"n. 西方人, 西部片, 西部小说
a. 向西方的, 来自西方的, 西方的, 西洋的, 西部的"
once upon, 京城往事（电影名）
stepsister, [医]异父母姊妹
prince,"n. 王子, 亲王, 国君, 贵族, 诸侯, 有权势的大人物"
fall in love, 陷入爱河（歌名）; [电影]追爱总动员
fit,[网络] 美国纽约时装学院；弗雷德里克理工学院；注水试验
couple,"n. 对, 夫妇, 数个
vt. 使成双, 连接, 使成婚, 把...联系起来
vi. 结合, 成婚"
smile,[网络] 众人仰慕
marry,"vt. 与...结婚, 娶, 嫁
vi. 结婚"
get married, 结婚; 结亲; 成家立室
gold,"n. 黄金, 钱财, 金块, 金色, 宝贵
a. 金的, 似金的, 金色的, 金制的"
emperor,"n. 皇帝, 君主"
silk,"n. 丝, 绸, 绸锻类, 丝织品
a. 丝的, 丝织的"
underwear, 潜水内衣
nobody,[网络] 没有人；无人
stupid,"a. 愚蠢的, 麻木的"
cheat,"n. 欺骗, 作弊, 骗子
v. 欺骗, 逃脱, 骗取"
stepmother,继母
wife,"n. 妻子, 太太, 夫人
[法] 妻子, 已婚妇女"
husband,[网络] 外子
whole,"n. 全部, 全体, 整体, 完全之体系
a. 所有的, 完整的, 完全的, 纯粹的"
scene,"n. 场, 情景, 镜头, 发生地点, 道具, 布景, 景色
[化] 现场"
moonlight,"adj. 月光的；月光下的
n. 月光
[网络] 血色月光；月亮；月光石"
shine,"n. 光泽, 阳光
vt. 使发光
vi. 照耀, 发光, 发亮"
bright,"a. 明亮的, 聪明的, 鲜明的, 欢快的
adv. 明亮地, 欢快地"
ground,"n. 土地, 战场, 场地, 地面, 范围
a. 土地的, 地面上的
vt. 放在地上, 使搁浅, 打基础, 给...以训练
vi. 搁浅, 落地, 根据, 基于
a. 磨过的
grind的过去式和过去分词"
lead,[网络] 成长计划
voice,"n. 声音, 嗓音, 嗓子, 愿望, 发言权, 表达, 喉舌, 语态
vt. 表达, 吐露, 调音"
brave,"a. 勇敢的, 美好的, 华丽的
n. 勇敢者
vt. 勇敢地面对"
Claudia,n. 克劳迪娅（女子名）
Journey to the West,n. 西游记，作者吴承恩
the Monkey King, [电影]大闹天宫
Sleeping Beauty,睡美人
Cinderella,n. 灰姑娘
Little Red Riding Hood,[网络] 小红帽；小红帽的故事；小红帽·格林童话
Hansel and Gretel,[网络] 汉斯和格莱泰；糖果屋；奇幻森林历险记
square,"n. 正方形, 街区, 广场, 平方, 直角尺
a. 正方形的, 正直的, 公正的, 平方的, 方正的, 结清的
adv. 成直角地, 对准地
vi. 一致, 符合, 结清
vt. 使成方形, 使平方自乘, 调正, 结清, 使一致"
meter, [医]〔后缀〕意为：测量用的计、表、量器
deep,"a. 深的
adv. 深入地
n. 深渊, 深处"
desert,"n. 沙漠, 应得的赏罚, 功劳
a. 沙漠的, 不毛的
vt. 放弃, 遗弃, 擅离
vi. 逃掉"
population,"n. 人口, 人口数
[化] 群体; 总体"
Asia,n. 亚洲
feel free,"感到自由, 无拘束; 〈非正〉随自己之意(做某事)"
tour,"n. 旅游, 观光旅行, 任期
vi. 旅行, 周游, 巡回
vt. 周游, 观光, 游历, 使巡回演出"
tourist,"n. 观光客, 旅行者
a. 旅游的"
wall,[网络] 神经质的人更喜欢用板报；管壁；壁面边界
amazing,a. 令人惊异的
ancient,"a. 古代的, 古老的, 年老的, 旧的"
protect,"vt. 防卫, 保护, 警戒
[法] 庇护, 保护, 警戒"
wide,comb. 表示u201c有关u2026全体的u201d；表示u201c遍及u2026的u201d
as far as I know,就我所知
man-made,人造的
achievement,"n. 完成, 成就, 功业"
southwestern,"adj. 西南的；西南方向的
[网络] 西南部方言；东南部方言；期货与期权合约"
thick,"a. 厚的, 粗壮的, 浓的, 迟钝的, 浑浊的, 多雾的, 过分的, 口齿不清的
adv. 厚地, 密地, 浓浓地
n. 最浓处, 最厚处, 最密集处
[计] 暗, 粗线"
include,"vt. 包括, 把...算入, 包住
[计] DOS内部命令:在CONFIG.SYS文件的一个配置块中包含另一配置块的内容"
freezing,"a. 冰冻的, 冷冻用的, 严寒的
[化] 冻结; 冻结作用; 凝固; 凝固作用"
condition,[网络] 要件；经营环境；条件
take in,"na. 加以考虑；〔美国〕访问；收进；收容
[网络] 欺骗；吸收；接受"
succeed,"vi. 成功, 继承, 继续
vt. 继承, 接替"
challenge,"n. 挑战, 盘问
vt. 向...挑战, 要求, 怀疑
vi. 挑战, 对(证据等)表示异议"
in the face of,面对
achieve,"vt. 完成, 达到
vi. 如愿以偿"
force,"n. 力量, 武力, 势力, 影响力, 军队, 力, 效力
vt. 强迫, 强夺, 推动, 提高
[计] 人工转移; 强制"
nature,"n. 自然, 大自然, 本性, 性格, 性质
[医] 自然, 大自然; 本性, 性能"
even though,"虽然, 尽管"
even if,即使
ocean,"n. 海洋, 广阔, 许多, 一大片
[法] 海洋, 海"
the Pacific Ocean, 太平洋
cm,"abbr. (=curium)【化】锔
[网络] 公分；厘米；长"
centimeter,[网络] 公分；厘米
centimetre,[网络] 厘米
weigh,"vt. 称...重量, 衡量, 把...压弯, 考虑, 权衡, 起锚
vi. 称分量, 有意义, 重压, 起锚
n. 过秤, 称分量"
birth,"n. 出生, 起源
[医] 生产, 分娩"
at birth,在出生时
up to,"从事于(坏事), 忙于, 胜任, 能做, 适合, 适于"
adult,"n. 成人, 成虫
a. 成年的, 成熟的"
bamboo,"n. 竹子
[医] 竹类"
endangered,a. 有生命危险的；濒临灭绝的
research,"v. 再调查
[网络] 研究；搜索；追寻"
keeper,"n. 〈非正式〉守门员；门将；看守人；(动物园的)饲养员
[网络] 看护人；守护者；管理人"
awake,"a. 醒着的
vt. 唤醒, 唤起, 使意识到
vi. 醒来, 被唤起, 意识到"
excitement,[网络] 激动人心
walk into,"痛斥, 不慎陷入"
fall over, 被…绊倒; 意外地从…上跌落; 落在…之外; 迫不及待做某事
or so,"大约, 或许, ...左右"
illness,"n. 疾病, 恶意
[医] 病"
wild,"n. 荒野, 荒地
a. 野性的, 野蛮的, 野生的, 失控的, 任性的, 杂乱的, 轻率的, 狂热的, 疯狂的
adv. 狂暴地, 失控地"
government,[网络] 统治
whale,"n. 鲸
vi. 捕鲸
vt. 使惨败, 猛揍"
oil,[网络] 国际法制计量组织；油剂
protection,[网络] 保障
huge,"a. 极大的, 巨大的, 无限的"
Tenzing Norgay,[网络] 诺盖；诺尔盖；丹增诺盖
Edmund Hillary,埃德蒙·希拉里 (人名)
Junko Tabei,无
Qomolangma,[网络] 珠穆朗玛峰；西藏珠穆朗玛峰；珠峰
the Nile, 尼罗河
the Caspian Sea,[网络] 里海；沿著里海
the Sahara,无
the Yangtze River,"na. 长江
[网络] 扬子江；是长江；长江英文介绍"
the Yellow River, 黄河
the Ming Dynasty,无
the Ming Great Wall,无
the Himalayas,n. 喜马拉雅山脉
the Amazon River,无
Chengdu Research Base,无
treasure,"n. 宝物, 财富
vt. 珍爱, 重视, 秘藏"
island,[网络] 陆地
full of, 充满; 牣; 尽是
classic,"n. 古典作品, 杰作, 大艺术家
a. 第一流的, 最优秀的, 古典的"
page,"n. 页, 记录, 事件, 专栏, 男侍
vt. 标明...的页数, 翻...的书页, 分页排版, 呼叫, 侍候
vi. 翻书页, 侍侯
[计] 页; 页面"
hurry,"n. 匆忙, 急忙, 急促
vt. 急派, 催促
vi. 匆忙, 赶快"
hurry up,"赶快, 匆匆完成"
due,"n. 应得的东西, 应付款
a. 到期的, 应得的, 应付的, 约定的"
ship,n. [英国俚语](在同一工头下工作的)排字组 ( = companionship)
tool,"n. 工具, 机床, 傀儡
vt. 用工具加工
vi. 使用工具"
gun,"n. 枪
[医] 枪"
mark,"n. 标志, 分数, 马克, 痕迹, 斑点, 靶子, 刻度, 记号, 符号, 戳记, 标准, 起跑线
vt. 做标记于, 留意, 打分数, 表明, 标志, 记录
vi. 作记号, 记得分
[计] 标志; 标记; 传号"
sand,[网络] 之和；加奖金之和；委卖手数之差与之和
cannibal,"n. 食人者, 吃同类的动物
a. 食同类的, 吃人肉的"
towards,prep. 向；朝着；面对；朝…方向；向着…的目标；为了…的目的；有助于；关于；对…
land,表示：u201c某种质量的土地u201d：grassland; u201c特定的地方或境界u201d：fairyland
fiction,"n. 小说, 虚构故事
[法] 虚构的事实, 捏造, 拟制"
science fiction," 科幻, 科学幻想小说; 科幻小说"
technology,"n. 技术, 工业技术, 术语
[医] 技术学, 工艺学"
French,"n. 法国人, 法文, 法式
a. 法国的, 法国人的, 法语的"
pop,[网络] 相纸，打印纸
rock,[网络] 外单春季登山鞋
band,[网络] B提供住宿及早餐；连接两个并列成份
country music,n. 乡村音乐
country,"n. 国家, 乡村, 地区, 故乡
a. 乡下的, 农村的
[计] DOS外部命令:用于设定国家代码, 包括日期时间及货币格式"
forever,"永远, 老是"
abroad,"adv. 在国外；到海外
adj. 往国外的
n. 海外；异国"
actually,"adv. 事实上, 竟然, 如今, 现在"
ever since,从那时到现在
fan,"fan1
[fæn]
n.
任何通过扇动引起空气流动的装置
(羽毛、纸或布做的)扇子
风扇
扇形物(如鸟尾等)
(风车的)翼，叶片，螺旋桨
扬谷机
【地理学】扇状三角洲际
[俚语](扒手为探明钱物的部位，用手在扒窃对象身上)快速的一摸
vt.
(用扇子)扇：
He fanned the fire.
他用扇子扇火。
(用扇)向…搧风；吹凉(食物等)：
She fanned her face with a paper.
她用纸向脸上搧风。
煽动，鼓动，激起：
to fan resentment
激起忿恨
(用扇)驱赶
把…展成扇形：
She fanned out the cards in her hand.
她将纸牌在手中展成扇形。
风选(谷)；扬去(糠、杂物等)
[美国俚语]
拍击，拍打
(用枪)连击
[美国英语]【棒球】使(击球员)三击不中出局
vi.
飘动，轻拂：
the flag fanning in the breeze
微风中飘动的旗帜
成扇形展开(常与out连用)：
The troops fanned out as they advanced.
部队向前推进时呈扇形散开。
The fire fanned out in all directions.
大火向四周呈扇形蔓延。
[美国英语]【棒球】(击球员)三击不中出局
[口语]闲聊
[口语](为窃取钱币)拨弄公用电话机的贮钱装置
[英国英语](扒手为探明钱物往扒窃对象身上)快速地一摸
短语:
fan someone's tail
打屁股
flirt a (或 one's) fan
一下子把扇子打开(或合拢)
灵活地挥动扇子
hit the fan
[美国俚语]酿成大乱，产生严重后果；有极大的(往往是不良的)影响
变形：
vt.
fanned
. fanning
fan2
[fæn]
n.
[美国口语](运动、娱乐等的)狂热者，爱好者，热心之士，…迷；(对演员、电影明星的)狂热仰慕者"
southern,"adj. 南的；南方的
n. 南方人
n. (Southern)人名；(英)萨瑟恩"
modern,"n. 现代人, 有思想的人
a. 现代的, 时髦的"
success,[网络] 越走越近
belong,[网络] 不弄；很长时间才能发生；买空
one another,彼此
laughter,n. 笑；笑声
beauty,"n. 美, 美人"
million,"n. 百万；无数
adj. 百万的；无数的
num. 百万
n. (Million)人名；(法、罗、埃塞)米利翁"
record,"vt. 记录，记载；标明；将...录音
vi. 记录；录音
n. 档案，履历；唱片；最高纪录
adj. 创纪录的
n. (Record)人名；(法)勒科尔；(英)雷科德"
introduce,"vt. 介绍, 引入, 采用, 输入
[法] 引进, 输入, 介绍"
line,"comb.form 表示“电话服务”：jokeline [参较 chatline, helpline]"
Alex,[计] 开放网络文件系统
Garth Brooks,无
The Beatles,甲壳虫乐队（又名披头士）
Treasure Island,"金银岛（一电影名, 书名）"
Alice in Wonderland,n. 爱丽丝奇境记
Little Women,小妇人（美国作家露依莎·奥尔柯特的作品）
Oliver Twist,雾都孤儿（书名）
Robinson Crusoe,"n. 鲁宾逊漂流记, 鲁宾逊"
Tom Sawyer,"汤姆历险记, 汤姆·索亚历险记；汤姆·索亚"
Harry Potter,哈利·波特（著名系列小说《哈利·波特》中的主人公）
Nashville,n. 那什维尔（美国田纳西州首府）
Tennessee,n. 田纳西州
Country Music Hall of Fame Museum,无
amusement,"n. 兴味, 娱乐, 消遣
[法] 娱乐, 娱乐活动"
amusement park,公共游乐场
somewhere,[网络] 在某处；不知处
camera,"n. 照相机, 摄影机, 密谈室, 暗箱
[计] 摄影"
invention,"n. 发明, 创作能力, 虚构的故事
[经] 发明"
invent,"vt. 发明, 创作, 虚构
[机] 发明"
unbelievable,a. 难以置信的
progress,"n. 进步, 发展, 前进
vi. 进步, 进行"
rapid,"a. 迅速的, 飞快的, 急促的, 陡的
n. 急流"
unusual,"a. 不寻常的, 罕见的, 与众不同的"
toilet,"n. 厕所, 梳妆
vi. 梳妆, 打扮, 上厕所
vt. 给...梳妆打扮"
encourage,"vt. 鼓励, 支持, 激励
[法] 怂恿, 煽动, 助长"
social,"a. 社会的, 群居的, 社交的
n. 联欢会"
peaceful,"a. 平静的, 和平的, 和平时期的, 爱好和平的, 喜爱安静的
[法] 和平的, 爱好和平的, 和平时期的"
tea art,无
performance,"n. 施行, 工作情况, 成绩, 行为, 表现, 演出
[电] 绩效, 性能"
perfect,"adj. 完美的；最好的；精通的
vt. 使完美；使熟练
n. 完成式
n. (Perfect)人名；(英)珀费克特"
tea set,n. 茶具
itself,[网络] 不是看它是否与真正本来
collect,"v. 收集, 聚集, 集中, 搜集
a. 由收到者付款的
adv. 由收到者付款地"
a couple of,"一对..., 三两个..."
German,"n. 德国人, 德语
a. 德国的, 德国人的, 德国语的, 同父母的"
theme,[计] Windows桌面主题文件
ride,"n. 骑马, 乘坐, 乘车, 搭便车
vt. 骑, 乘坐, 压迫, 控制
vi. 骑马, 乘车, 漂游"
province,"n. 省, 地方, 职权, 领域
[法] 省, 地方, 领域"
thousand,"n. 一千；一千个；许许多多
adj. 成千的；无数的"
thousands of,"成千上万,数千,许许多多"
on the one hand ... on the other hand ..., 一方面…，另一方面…
safe,"adj. 安全的；可靠的；平安的
n. 保险箱；冷藏室；纱橱
n. (Safe)人名；(几)萨菲"
simply,"adv. 简单地, 只是, 简直, 简朴地, 坦白地"
fear,"n. 恐怖, 害怕, 担心
v. 害怕, 恐惧, 为...担心, 敬畏"
whether,"conj. 是否, 不论
pron. 两个中的哪一个"
Indian,"n. 印度人, 印第安人, 印第安语
a. 印度的, 印度群岛的, 印第安语的"
Japanese,"n. 日本人, 日语
a. 日本的, 日语的"
fox,"n. 狐狸, 狡猾的人
vi. 奸狡地行动, (书页)生斑, 变酸
vt. 欺骗, 使变酸, 为(鞋等)换面, 使生黄斑"
all year round,一年到头，终年；全年地，整年地
equator,"n. 赤道
[医] 赤道, 中纬线"
whenever,[网络] 究竟何时；等等；什么时候给我打电话都可以
spring,"n. 春天, 弹簧, 跳跃, 弹性, 活力, 泉, 源泉
a. 春天的
vi. 跳, 弹跳, 涌出, 生长, 裂开, 高耸
vt. 使跳起, 使爆炸, 突然提出"
mostly,"adv. 大概, 大部分, 主要
[经] 大部份"
location,[网络] 偏重于以区位
National Science Museum,[网络] 国家科学博物馆；国家自然博物馆；国立科学博物馆
International Museum of Toilets,无
Hangzhou National Tea Museum,无
Donald Duck,唐老鸭
Disneyland,n. 迪斯尼乐园
Disney Cruise,无
the Terracotta Army,无
the Bird's Nest,无
Singapore,n. 新加坡
Southeast Asia,[网络] 东南亚；东南亚州酒店；东南亚村
Night Safari,无
yard,"n. 码, 庭院, 工场
[化] 堆置场"
yard sale,旧家具旧衣物的拍卖
sweet,"n. 甜蜜, 糖果, 情人
a. 甜的, 芳香的, 悦耳的, 漂亮的, 和蔼的, 不咸的, 灵活的, 轻快的"
memory,"n. 记忆, 记忆力, 回忆, 纪念, 存储
n. 内存
[计] 存储器, 内存, 查看内存实用程序"
cent,"n. 分
[经] 美分"
toy,"n. 玩具, 小玩艺儿, 小型的东西, 消遣
a. 供玩耍的, 作为玩具的
vi. 玩弄, 戏弄, 调情"
bear,[网络] 蚕豆
maker,"n. 制造者, 上帝
[经] 制造者, 出票人"
bread maker,n. 制面包机
scarf,"n. 围巾, 头巾, 领带, 领巾, 嵌接
vt. 用围巾围, 嵌接"
soft,[网络] -柔软的
