penalty,"n. 处罚, 刑罚, 罚款, 罚球, 报应, 不利结果, 妨碍
[经] 罚金(款), 违约金"
complicated,"a. 复杂的
[医] 并发的"
set,"n. 日落, 同伙, 组合, 集合, 装置
vt. 放, 安置, 放置, 设定, 使凝结, 点燃, 确定, 点缀, 使就位, 树立, 分配, 调整
vi. 日落, 凝固, 定型, 搁住, 结果, 适合
a. 决心的, 规定的, 故意的, 持久的, 固定的, 老套的, 准备好的
[计] 设置; DOS内部命令:改变或显示分配给环境变量的值"
a set of something,无
sonar,"n. 声纳
[计] 声纳"
seek out,"搜出, 挑出"
voluntarily,"adv. 自愿地, 以自由意志"
unconditional,"a. 无条件的, 无限制的, 绝对的
[经] 无条件的, 无保留的"
repay,"v. 偿还, 报答, 报复"
intended,"adj. 故意的，有意的；打算中的
n. 已订婚者
v. 打算；准备（intend的过去分词）"
prey,"n. 被掠食者, 牺牲者
vi. 捕食"
enlightened,"a. 有知识的, 进步的, 文明的"
severe,"a. 严格的, 尖锐的, 严肃的, 严重的, 严厉的, 朴素的
[法] 严厉的, 苛刻的, 严重的"
depression,"n. 不景气, 消沉, 沮丧, 洼地
[医] 抑郁[症], 阻抑, 压低, 凹, 窝, 衰退, 俯角"
sympathetically,"adv. 怜悯地, 同情地"
enthusiast,"n. 热心家, 狂热者, 爱好者"
supernatural,"a. 超自然的, 神奇的
[医] 超自然的"
extreme,"adj. 极端的；极度的；偏激的；尽头的
n. 极端；末端；最大程度；极端的事物"
crew,"n. 全体人员, 一群人, 全体队员
crow的过去式"
navy,"n. 海军, 海军人员, 海军军力, 烟蒂"
witness,"n. 证人, 目击者, 证据, 证词
vt. 目击, 作证, 证明, 表明
vi. 作证人, 作为证据"
anchor,"n. 锚
vt. 抛锚停泊, 使固定
[计] 锚"
fascinated,a. 着迷的；被深深吸引的
given,"a. 赠予的, 沉溺的, 约定的
give的过去分词"
extremely,"adv. 极端地, 非常地"
jaws,"n. 颌；【机】爪；叉头；夹片
v. 唠唠叨叨地训斥；唠唠叨叨地责备；〈俚〉向…唠叨
[网络] 大白鲨；Job Access With Speech；狭口"
sight,"n. 景观, 视力, 眼界, 阅读, 见解, 意见
vt. 看见, 瞄准
vi. 瞄准, 观看
a. 即席的, 见票即付的"
predator,"n. 食肉动物, 掠夺者
[医] 捕食者"
demonstrate,"vt. 示范, 证明
vi. 示威"
incredible,a. 难以置信的
live off,"以...为食料, 靠...生活"
live off something,无
plankton,"n. (总称)浮游生物
[医] 浮游生物"
flexible,"a. 易曲的, 灵活的, 柔顺的, 能变形的, 可通融的
[医] 能屈的"
cartilage,"n. 软骨
[医] 软骨"
hatch,"n. 孵化, 舱口
vt. 孵, 孵出, 策划
vi. 孵化"
live,"a. 活的, 生动的, 精力充沛的, 实况转播的
vi. 活, 生存, 居住
vt. 过着, 度过, 经历
adv. 实况地"
marine,"n. 舰队, 水兵, 海景画
a. 海的, 海产的, 海底的, 船舶的, 海运的"
vocation,"n. 职业, 天命, 天职, 才能, 行业
[法] 行业, 职业, 职业上的才能"
autobiographical,"a. 自传的, 自传体的"
rough it,"na. 胡闹；含辛茹苦
[网络] 过艰苦的生活；生活简单；因陋就简地生活"
Virginia City,[地名] 弗吉尼亚城 ( 美 )
momentous,"a. 重大的, 重要的"
shift for oneself,"自己尽量想办法过日子
[法] 摆脱困境"
gain,"n. 增益, 获得, 利润, 收获, 增加
vt. 得到, 增进, 赚到
vi. 获利, 增加
[计] 增益"
livelihood,"n. 生计, 营生, 生活"
dazzle,"v. (使)眼花, 炫耀
n. 耀眼"
grocery,"n. 食品杂货店, 食品杂货业"
tiresome,"a. 累人的, 烦人的"
bother,"vt. 烦扰, 迷惑
vi. 烦恼, 操心
n. 麻烦, 纠纷, 讨厌的人"
private,"adj. 私有的；私用的；自用的；为一部分人的
n. 列兵（级别最低的士兵）
[网络] 私人的；个人的；二等兵"
mill,"n. 压榨机, 磨坊, 制造厂
vt. 碾磨, 磨细, 搅拌, 使乱转
vi. 乱转, 被碾磨"
amount to,"[经] 等于, 相当于"
mining,"n. 采矿
[经] 采矿, 采矿业"
descend,"vi. 下降, 世代相传, 屈尊, 袭击
vt. 下降"
shaft,"n. 轴, 箭杆, 矛, 矿井
vt. 装杆于, 利用"
pick,"n. 精选, 选择, 掘, 精华, 牙签, 鹤嘴锄
v. 摘, 掘, 凿, 挖, 挑选
[计] 拾取"
pickaxe,"n. 鹤嘴锄, 镐
vt.vi. 用鹤嘴锄掘"
shovel,"n. 铲, 铁铲
v. 铲"
toss,"n. 投掷, 抛, 摇摆, 震荡, 掷钱币决定
vt. 投掷, 猛抬, 摇荡, 使不安, 掷钱币决定
vi. 被到处扔, 摇摆, 颠簸, 辗转, 掷钱币决定某事"
land,"n. 陆地, 地面, 地界, 地产, 国土, 土地
vi. 登陆, 登岸, 到达
vt. 使上岸, 使登陆, 使到达
[计] 连接盘; 焊盘"
cabin,"n. 小屋, 客舱
vt. 关在小屋"
misery,"n. 痛苦, 悲惨, 不幸, 穷困"
amuse,"v. 逗乐；逗笑；（提供）消遣；（使）娱乐
[网络] 使愉快"
territory,"n. 领土, 领地, 版图, 地区, 活动范围
[经] (推销员等的)推销区域"
in print,"na. 已出版的；(书等)在出售中的；(书等)尚有供应的
[网络] 印上；息气是铭印；铭印现象"
eureka,"interj. 找到了, 有了
n. 优铜"
fortune,"n. 财富, 运气, 兴隆, 大量财产, 好运, 命运
[法] 命运, 财产, 大量财产"
enter upon," 开始, 着手"
publication,"n. 出版物, 出版, 公布
[经] 发布"
in a nutshell,"简括地说, 一句话"
bore,"n. 令人讨厌的人, 激浪, 枪膛, 孔
vt. 使烦扰, 钻孔
vi. 钻孔
bear的过去式
[计] 内径; 孔径"
bare,"a. 赤裸的, 缺少的, 无遮蔽的, 坦率的
vt. 使赤裸, 露出"
wagon,"n. 四轮马车, 货车
[法] 囚车, 马车, 运货车"
renew,"vt. 使更新, 使恢复, 复兴, 修补, 补充, 继续, 重订, 重申, 续借
vi. 更新, 重新开始"
sensational,"a. 使人感动的, 非常好的"
wretched,"a. 可怜的, 不幸的, 卑鄙的"
drag,"n. 拖, 拖累
v. 拖累, 拖拉, 沉重缓慢地走, 拖动
[计] 拖动"
hostile,"a. 敌人的, 怀敌意的, 敌对的
n. 敌对分子"
rough,"n. 粗糙的东西, 毛坯, 未加工品, 梗概, 草图, 暴徒, 艰难
a. 粗糙的, 粗暴的, 蓬乱的, 草率的, 大致的, 简陋的, 暴风雨的, 艰难的
vt. 使粗糙, 使不平, 使蓬乱, 粗制, 草拟, 粗暴对待, 对...动粗
vi. 变粗糙
adv. 粗糙地, 粗暴地"
legitimate,"a. 合法的, 正当的, 婚生的
vt. 认为正当, 立为嫡嗣, 使合法"
furnish,"vt. 供给, 提供, 装设
[化] 供应; 供给; 配料"
commendation,"n. 赞赏, 嘉奖, 推荐"
compensate,"v. 偿还, 补偿, 付报酬"
financially,adv. 金融上；财政上
two-way,"adj. 双向的；两路的；正反两用的
[网络] 双向连通；双向绑定；双向屏"
passion,"n. 激情, 酷爱, 热爱, 强烈感情, 耶稣受难(故事)"
reward,"n. 报酬, 酬谢, 赏金
vt. 奖赏, 酬谢, 给...应有报应"
risk-free,[网络] 零风险
figure out,"na. 估计；解决；了解；〈口〉确定
[网络] 弄清楚；算出；推测"
internal,"a. 内在的, 国内的
[医] 内的, 内部的"
expo,"[经] 展览会, 市集, 义卖"
exposition,"n. 阐述, 讲解, 说明, 博览会, 展览会
[经] 展览会, 集市, 义卖市场"
industrialist,"n. 企业家, 实业家
[经] 实业家, 工业主义者"
exhibitor,"n. (展览会的)参加者, 电影院经理, 电影院老板, 电影放映者, 展出者
[法] 出示证物人, 展览者, 提供者"
profession,"n. 职业, 表白, 声明
[化] 工种; 职业"
representative,"n. 代表, 众议员, 典型
a. 描写的, 表现的, 代理的, 代表的, 代议制的, 典型的"
institution,"n. 机构, 惯例, 制度
[医] 机关, 机构, 设施"
miss out on,得不到期望中的东西，没得到期望中的东西，错过机会；不能掌握
expertise,"n. 专家意见, 专门技术
[法] 专门知识, 专家意见"
intend,"vt. 计划, 打算, 意思是
[法] 想要, 打算, 意旨"
prospectus,"n. 创办计划书, (内容)说明书, 内容简介
[经] (募债)说明书"
field,"n. 场；字段；领域；田
v. 接；使参加竞选；使参加比赛；担任守场员
adj. 田间的；野外的；实地的
[网络] 莎莉·菲尔德；野战套服；外地代理指"
take after,"像, 学样
[法] 象, 相似, 追赶"
scholarship,"n. 学问, 学术成就, 奖学金"
aim,"n. 目标；目的；瞄准
v. 瞄准；旨在；针对；对准
abbr. (=American Indian Movement)美国印第安人运动
[网络] 美国在线(AOL Instant Messenger)；另类投资市场(Alternative Investment Market)；伦敦另类投资市场"
aim to do something,无
feature,"n. 面孔的一部分(如眼、口等), 特征, 容貌, 特色, 特写
vt. 是...的特色, 特写, 放映
vi. 起重要作用
[计] 特性"
seminar,"n. 研究班, 专题讨论会
[经] 讨论会, 专家讨论会"
outline,"n. 大纲, 轮廓, 概要
vt. 描画轮廓, 描述要点
n. 大纲, 分级, 轮廓
[计] 大纲, 分级, 轮廓"
respective,"a. 分别的, 各自的"
get across,"na. 使了解；使通过；使人了解；与(人)冲突
[网络] 讲清楚；使被理解；解释清楚"
retrain,"vt. 重新教育；再教育
vi. 再训练；再教育
n. (Retrain)人名；(法)雷特兰"
available,"a. 可利用的, 可获得的, 有效的
[医] 有效的, 可得的"
dead-end,"a. 尽头的, 没有发展前景的, 无出路的
vi. 到达尽头"
intention,"n. 意图, 目的, 含义
[医] 愈合, 意向"
prospective,"a. 预期的, 将来的
[经] 预期的, 未来的"
employer,"n. 雇主, 老板
[经] 雇主, 业主"
frankly,adv. 坦白地
normally,"adv. 正规地, 合规则, 正常地"
squash,"n. （软式）墙网球；壁球；果汁饮料
v. 压软（或挤软、压坏、压扁等）；把…压（或挤）变形；（使）挤进；塞入
[网络] 南瓜；压碎；西葫芦"
make up for,"补偿,弥补"
discomfort,"n. 困苦, 不适
[医] 不舒适, 不舒, 烦闷, 不快活"
entry,"n. 登录, 条目, 进入, 入口, 报关
[计] 登录项, 输入项, 条目"
vacancy,"n. 空, 空白, 空缺, 空虚, 空闲
[化] 空位"
ambition,"n. 野心, 志向"
jump-start,"v. 起动, 发动"
drive,"n. 驾车, 快车道, 推进力, 驱动, 动力, 击球, 驱动器
vt. 开车, 驱使, 推动, 驾驶
vi. 开车, 猛击, 飞跑
[计] 驱动器"
post,"n. 柱, 杆, 准星, 邮件, 邮政, 标竿, 职位, 岗位, 哨所, 兵营
vt. 张帖, 邮递, 公布, 登入帐, 使熟悉, 布置
vi. 快速行进
adv. 急速地
[计] 记入; 登记, 上电自检"
innovatively,adv. 创新地
creatively,adv. 创造性地；有创造力地
human resources,"n. 人类资源
[网络] 人力资源；人力资源工具；企业经营者"
application,"n. 应用, 申请, 志愿书, 应用程序
[计] 应用, 应用程序"
base ... in,[网络] 底向内；基底朝内；基底的方向是同时向内
secretarial,"a. 秘书的, 书记的"
interpret,"vt. 解释, 演出, 翻译, 理解
vi. 翻译, 解释"
candidate,"n. 候选人, 投考者
[法] 候选, 候补者"
standard,"n. 标准, 规格, 旗, 军旗, 本位
a. 标准的, 合规格的
[计] 标准"
advanced,"a. 在前的, 高级的, 先进的, 年老的
[法] 预付的, 预支的, 垫付的"
presentation,"n. 赠与, 描述, 介绍
[计] 简报"
spreadsheet,"[计] 电子数据表, 伸展表, 棋盘式数据表
[经] 棋盘式对照表"
corporate,"a. 社团的, 合伙的, 公司的
[经] 团体的, 法人的, 社团的"
memo,"n. 备忘录
[经] 备忘录"
position,"n. 位置, 地位, 身分, 形势, 姿势, 立场, 职位, 状态, 阵地
vt. 安置, 决定...的位置
[计] 位置"
enthusiastic,"a. 狂热的, 热心的, 热烈的"
previous,"a. 早先的, 前面的, 过急的
[法] 以前的, 生前的, 前述的"
identify,"vt. 识别, 认为...等同于, 确定, 使参与
vi. 一致, 认同"
negotiate,"vi. 商议, 谈判, 交涉
vt. 谈妥, 转让, 处理"
contract,"n. 合约, 婚约, 契约
vt. 使皱缩, 使缩短, 感染, 订约, 缔结
vi. 皱缩, 订约, 收缩"
self-motivated,"adj. 自我激励的；自我勉励的；主动的
[网络] 积极主动；上进心；自我要求高的"
competitive,"a. 竞争的
[经] 竞争的"
