anyone, pron.任何一个
maybe,"adv.大概,或许n.疑虑"
least,"adj.最小的,最少的adv.最少,最小"
at least,
junk,"n.垃圾,舢板"
junk food,
coffee,"n.咖啡,咖啡树,咖啡茶,咖啡豆,咖啡色"
health,"n.健康,健康状态,兴旺,为健康干杯"
result,"n.结果,成效,计算结果vi.起因,由于,以...为结果,导致"
percent,"n.百分比,百分数"
per cent,
online,"n.联机,在线式"
television,"n.电视,电视机,电机学,电视广播事业"
although," conj.虽然,尽管"
through," prep.穿过,通过,从开始到结束,经由,以adv.从头到尾,自始至终,直达地,彻底,完全adj.直达的,直通的"
mind,"n.头脑,智力,精神,意见,情绪vi.介意,照顾,留心vt.注意,留意,专心于,照看,介意"
body,"n.身体,肉体,人,尸体,主要部分,团体,大量vt.赋以形体"
such,"adj.这样的,这种,某一 pron.这样的人(们)或物"
such as,
together,"adv.共同,一起,合起来,集拢地"
die,"vi.死亡,消逝,平息,渴望,漠然,熄灭vt.死n.骰子,钢型,硬模,冲模"
writer,"n.作者,作家,复写器"
dentist,n.牙科医生
magazine,"n.杂志,期刊,军火库,弹药库,(枪、炮的)弹仓,胶卷盒"
however,"adv.无论如何,可是,仍然,究竟 conj.不管用何种方法,然而,可是"
than, conj.比 prep.与...相比较
more than,
almost,"adv.几乎,差不多"
none,"adv.决不,毫不 pron.一个也没有,毫无"
less,"n.较少,较小adj.少的,小的adv.较少地,更小地,不及 prep.减去"
less than,
point,"n.点,尖端,分数,要点,分数vt.弄尖,指向,指出,瞄准,加标点于vi.指,指向,表明"
Claire,
Sue,
American Teenager,
outgoing,"n.外出,开支,流出adj.即将离职的,对人友好的 喜欢外出的"
better,"adj.较好的adv.更好的,更多的,更佳的"
loudly,"adv.响亮地,大声地"
quietly,"adv.平静地,静静地,寂静地"
hard-working,
competition,"n.竞争,竞赛"
fantastic,"adj.幻想的,奇异的,稀奇古怪的,荒谬的,空想的"
which," pron.哪个,哪几个,...的,...那个adj.哪个"
clearly,"adv.明朗地,明显地,无疑地"
win,"v.(获)胜,赢得,劝诱,取得胜利n.赢,胜利"
though,"adv.虽然,可是 conj.虽然,尽管"
talented,adj.有才能的
truly,"adv.真实地,不假"
care,"n.注意,照料,烦恼,忧虑,由...转交vi.关心,顾虑,照顾,喜爱vt.在意"
care about,
serious,"adj.严肃的,认真的,严重的"
mirror,"n.镜子,真实反映情况的东西,典范vt.反映,映出"
kid,"n.哄骗,取笑,开玩笑,小孩,小山羊v.哄骗,取笑,开玩笑,欺骗"
as long as,
necessary,"n.必需品adj.必要的,必需的,必然的"
be different from,
both,"adj.两者,双方的 pron.双方,两者"
bring out,
grade,"n.等级,级别vt.评分,评级v.分等级"
should,"v.aux.应该,将要"
the same as,
saying,"n.话,谚语"
reach,"n.延伸,区域,河段,范围,(车子前后轴的)联接杆,横风行驶vt.到达,达到,伸出,影响vi.达到,延伸,伸出手,传开"
hand,"n.手,掌管,协助,支配,插手,指针,雇员,手艺vt.支持,搀扶,交给"
touch,"n.触,触觉,接触,联系,轻触,碰,缺点,格调vt.接触,触摸,触及,达到,涉及,点缀,使接触,感动vi.触摸,接近,涉及,提到"
heart,"n.心,心脏,中心,心地,心情,精神,宝贝儿,感情vt.把...放在中心"
fact,"n.事实,实际,实情,真相,(犯罪)行为,论据"
in fact,
break,"n.休息,暂停,破裂,突变v.打破,违犯,折断,削弱,超过,突变"
arm,"n.臂,臂状物,衣袖,海湾,武器vt.供给,提供,武装,装备vi.武装起来"
laugh,"vi.笑,讥笑n.笑,笑声"
share,"n.共享,参与,一份,部分,份额,参股vt.分享,均分,共有,分配vi.分享"
loud,"adj.高声的,不断的,喧吵的adv.高声地,大声地"
similar,"adj.相似的,类似的"
be similar to,
primary,"adj.第一位的,主要的,初步的,初级的,原来的,根源的"
primary school,
information,"n.通知,报告,消息,情报,知识,见闻,资料,起诉 信息"
Tara,
Sam,
Nelly,
Larry,
theater,"n.剧场,戏院,电影院,阶梯教室,手术教室,手术室,全体观众,戏剧"
comfortable,adj.舒适的
seat,"n.座,座位,所在地,场所,席位vt.使坐下"
screen,"n.屏,银幕,筛子,掩蔽物,屏风vt.掩蔽,包庇,放映,拍摄,筛vi.拍电影"
close,"v.关,关闭,结束,停止,使靠近,靠拢,会合,包围n.结束adj.近的,紧密的,精密的,齐根的,封闭的,亲密的,闷气的adv.接近,紧密地"
ticket,"n.票,入场券"
worst,"adj.最坏的,最差的adv.最坏,最差"
cheaply,adv.便宜地
song,"n.歌,歌曲"
DJ,
choose,"v.选择,选定"
carefully,"adv.小心地,谨慎地"
reporter,"n.记者,通讯员"
so far,
fresh,"adj.新鲜的,无经验的,生的,冒失的,鲜艳的adv.最新地,刚刚n.开始,泛滥"
comfortably,"adv.安乐地,舒适地,充裕地"
worse,"n.(人或事)较坏者,更坏的事,更恶劣的事,败北adj.更坏的,更恶劣的adv.更坏地,更恶劣地"
service,"n.服务,服务性工作,服役,仪式vt.保养,维修adj.(军队)服现役的,服务性的,仆人的,耐用的"
pretty,"adj.漂亮的,可爱的,优美的,机灵的,恰当的"
menu,n.菜单
act,"n.幕,法案,法令,动作,举动,节目,(戏剧的)幕vi.行动,产生...的效果,担当,表演,假装,表现,见效vt.扮演,装作"
meal,"n.一餐,一顿饭,膳食,(谷类的)粗粉vi.进餐"
creative,adj.创造性的
performer,n.表演者
talent,"n.天才,才干,才能"
have ... in common,
magician,"n.善于变戏法的人,魔术师,术士"
all kinds of,
beautifully,"adv.美好地,漂亮地"
be up to,
role,"n.角色,任务"
play a role,
winner,"n.胜利者,优胜者,获胜的事物"
prize,"n.奖赏,奖金,奖品,捕获,捕获物,战利品adj.得奖的vt.珍视,估价,捕获,撬,撬开"
everybody,"int.每个人,人人"
make up,
example,"n.例子,实例,例题,范例,榜样,鉴戒,实例"
for example,
poor,"adj.贫穷的,可怜的,乏味的,卑鄙的"
seriously,"adv.认真地,真诚地"
take ... seriously,
give,"n.弹性,可弯性vt.给,授予,供给,献出,让步,引起,发表,捐助vi.捐赠,让步"
crowded,"adj.拥挤的,塞满的"
Greg,
Depp,
Danny,
Eliza,
Vera,
Dennis,
American Idol,
America's Got Talent,
China's Got Talent,
sitcom, situation comedy 连续剧
news,"n.新闻,消息"
soap,"n.肥皂;Simple Object Access Protocol,简单对象访问协议"
educational,"adj.教育的,教育性的"
plan,"n.计划,设计图,平面图vt.计划,设计"
hope,"n.希望,信心v.希望,盼望,期待,信赖"
find out,
discussion,n.讨论
stand,"n.停止,抵抗的状态,立场,立足点,看台,架子,台v.站,立,站起,(使)竖立,(使)位于,维持不变,持久,经受"
happen,"vi.发生,碰巧,偶然v.发生,恰巧,偶然发现"
may," aux.可能,也许,可以,祝,愿n.(May) 五月,能,可能"
expect,"vt.期待,预期,盼望,指望,<口>(料)想,认为"
joke,"n.笑话,玩笑v.(和...)开玩笑"
comedy,"n.喜剧,喜剧性的事情"
meaningless,adj.无意义的
action,"n.动作,作用,战斗,行动,举动,行为,(戏剧或书中)的情节,(某一地区、领域或团体中)最能产生效果、最有趣、最有刺激性的活动vt.对...起诉"
action movie,
cartoon,"n.(报刊上的)政治性漫画,讽刺画,卡通画,漫画(常有解说词)v.画漫画n.卡通片,动画片"
culture,"n.文化,文明"
famous,"adj.著名的,出名的,<口>极好的,令人满意的"
appear,"vi.出现,看来,似乎,公开露面,出版,发表"
become,"vi.变成,成为,变得vt.适合,相称"
rich,"adj.富的,有钱的,富有的,富饶的,肥沃的,充足的,丰富的"
successful,adj.成功的
might,"v.(past tense,past participle of may see may)n.力量,威力,权力,能,可能 aux.可以"
main,"n.主要部分,体力,力量,大陆,要点,干线adj.主要的,重要的,全力的n.[计] 主群组"
reason,"n.理由,原因,动机,理智,前提vt.说服,推论,辩论vi.推论,劝说,思考"
common,"adj.共同的,公共的,公有的,普通的,庸俗的,伪劣的n.[复][总]平民,公有,普通,共通"
film,"n.薄膜,膜层,胶卷,影片,薄雾,轻烟,电影vt.在...上覆以薄膜,拍成电影vi.生薄膜,变成朦胧,拍电影"
unlucky,a.不幸的；不吉的
lose,"vt.遗失,浪费,错过,输去,使失去,使迷路,使沉溺于vi.受损失,失败"
girlfriend,
ready,"adj.有准备的,准备完毕的,甘心的,情愿的,现成的,迅速的"
be ready to,
character,"n.(事物的)特性,性质,特征(的总和),(人的)品质,字符,性格,特征,人物vt.写,刻,印,使具有特征"
simple,"adj.简单的,简易的,朴素的,简朴的,天真的,率直的,无经验的,易受骗的"
dress up,
take sb.'s place,
army,"n.陆军,军队,大群,大军"
do a good job,
Sarah,
Walt Disney,
Minnie,
Mickey Mouse,
Steamboat Willie,
Hollywood,
the Hollywood Walk of Fame,
grow up,
computer programmer,
cook,"n.厨师v.烹调,煮,伪造"
doctor,"n.医生,博士,[古]学者,<俚>修理师vt.授以博士学位,诊断,修改,<美>治疗,搀混(食物、饮料),修改vi.行医"
engineer,"n.工程师,技师,火车司机,轮机员,工兵"
violinist,"n.小提琴演奏者,小提琴家"
driver,"n.驾驶员n.[计] 驱动器,驱动程序n.[机]起子,主动轮,传动器"
pilot,"n.飞行员,领航员,引水员vt.驾驶(飞机等),领航,引水v.驾驶"
pianist,"n.钢琴家,钢琴演奏家"
scientist,n.科学家
be sure about,
make sure,
college,"n.(综合大学中的)学院,(独立的)学院,<美>大学,<英>公学,书院,高等专科学院,大学,学会"
education,"n.教育,训导,训练,培养,教育学"
medicine,"n.药,医学,内科学,内服药vt.给...用药"
university,n.(综合)大学
London,
article,"n.文章,论文,物品,商品,项目,条款v.清楚说出adj.表达清晰的"
send,"vt.送,寄,发送,派遣,打发"
resolution,"n.坚定,决心,决定,决议;分辨率"
team,"n.队,组"
foreign,"adj.外国的,外交的,外国产的,外来的,[医]异质的,不相关的"
able,"adj.能...的,有才能的,能干的,能够的"
be able to,
question,"n.问题,疑问,询问v.询问,审问,怀疑"
meaning,"n.意义,含意,意图,[逻]内涵adj.意味深长的"
discuss,"vt.讨论,论述"
promise,"vt.允诺,答应n.允诺,答应,许诺"
beginning,n.开始
at the beginning of,
improve,"v.改善,改进"
write down,
physical,"adj.身体的,物质的,自然的,物理的n.体格检查"
themselves," pron.他们自己,她们自己,它们自己,他们亲自,她们亲自,它们亲自"
have to do with,
self-improvement,
take up,
hobby,n.业余爱好
weekly,"adj.每星期的,一周的adv.每周一次n.周刊,周报"
schoolwork,n.(包括课堂作业和家庭作业)作业
agree,"vi.同意,赞成...的意见,与...一致,承认,适合vt.同意"
agree with,
own,"adj.自己的,特有的,(不用所有格)嫡亲的,同胞的vt.拥有,自认,承认vi.承认"
personal,"adj.私人的,个人的,亲自的,容貌的,身体的,人身的,针对个人的adj.[语法]人称的"
relationship,"n.关系,关联"
Andy,
Ken,
Hemingway,
Kelly,
The Old Man and the Sea,
paper,"n.纸,报纸,文件,证件,论文,考卷vt.用纸糊(墙壁等),用纸包装adj.纸的,象纸的,纸上的"
pollution,"n.污染,玷污"
prediction,"n.预言,预报"
future,"n.未来,将来,前途,远景adj.未来的,将来的"
pollute,"vt.弄脏,污染"
environment,"n.环境,外界"
planet,n.[天]行星
earth,"n.地球,陆地,泥土,洞穴,地球上的人类,尘世,[电]接地vt.埋入土中,把...赶入洞内,把...接地vi.躲入洞内"
plant,"n.植物,庄稼,工厂,车间,设备vt.种植,栽培,培养,安置vi.种植"
part,"n.部分,局部,零件,角色vt.分开,分离,分配vi.分开,断裂,分手adv.部分地,有几分adj.部分的,局部的"
play a part,
peace,"n.和平,和睦,安宁,静寂vi.安静下来"
sea,"n.海洋,大浪,大量,许多"
sky,"n.天,天空"
astronaut,"n.太空人,宇航员"
apartment,"n.<美>公寓住宅,单元住宅,房间"
rocket,n.火箭v.飞速上升
space,"n.空间,间隔,距离,空地,余地,一段时间vt.留间隔,隔开"
space station,
human,"n.人,人类adj.人的,人类的,人性的,有同情心的"
servant,n.仆人
dangerous,adj.危险的
already,adv.已经
factory,"n.工厂,制造厂,商住花园外的代理"
over and over again,
believe,"v.有坚定的宗教信仰的,相信,信任,认为,想"
disagree,"vi.不一致,不适宜"
even,"adj.平的,平滑的,偶数的,一致的,平静的,恰好的,平均的,连贯的adv.[加强语气]甚至(...也),连...都,即使,恰好,正当vt.使平坦,使相等vi.变平,相等n.偶数,偶校验"
hundreds of,
shape,"n.外形,形状,形态,(尤指女子的)体形,身段,形式vt.制作,定形,使成形,塑造,使符合vi.成形,形成,成长"
fall,"n.秋天,落下,瀑布,降低,落差,采伐量,堕落,下降vi.倒下,落下,来临,失守,变成,垮台,下跌,阵亡vt.<美><英方>击倒,砍倒(树木)adj.秋天的"
fall down,
inside,"n.里面,内部,内脏,内情adj.内部的,秘密的,于室内工作的adv.在里面 prep.在...之内"
look for,
possible,"adj.可能的,可能存在或发生的"
impossible,"adj.不可能的,不会发生的,难以忍受的"
side,"n.边,旁边,面,侧面,胁,一方,(一个)方面,摆架子adj.旁边的,侧面的,副的,枝节的vi.站在同一边"
probably,"adv.大概,或许"
during," prep.在...的期间,在...的时候"
holiday,"n.假日,节日,假期"
word,"n.字,词,话,消息,诺言,命令vt.为...措辞"
Nick,
James,
White,
shake,"v.摇动,摇,颤抖,震动n.摇动,摇,颤抖,震动"
milk shake,
blender,"n.掺和器,搅拌机"
turn on,
peel,"v.剥,削,剥落"
pour,"v.灌注,倾泻,涌入,流,倾盆大雨"
yogurt,"n.(=yoghurt) 酸奶酪,酵母乳"
honey,"n.(蜂)蜜,蜂蜜"
watermelon,n.西瓜
spoon,"n.匙,调羹,勺子"
pot,"n.罐,壶v.罐装"
add,"vt.增加,添加,计算...总和,补充说,又说;vi.加,加起来,增添,做加法"
finally,"adv.最后,终于,不可更改地,决定性地"
salt,"n.食盐,风趣,刺激adj.含盐的,咸的,风趣的,辛辣的vt.加盐于,用盐腌 SALT [缩写] 限制战略武器会谈"
sugar,"n.糖,食糖"
cheese,"n.干酪,<俚>头等的人或事物"
popcorn,n.爆米花
corn,"n.<美>玉米,<英>谷物,五谷,[医]鸡眼vt.腌(肉等)"
machine,"n.机器,机械,机动车辆,机构,设计,机械般工作的人,(政党的)领导集团,核心组织vt.机器制造,用车床加工"
dig,"v.掘,挖,钻研,搜集"
hole,"n.洞,孔,突破口v.凿洞"
sandwich,"n.夹心面包,三明治vt.夹入中间v.做成三明治"
butter,"n.黄油,牛油vt.涂黄油于...上"
turkey,"n.火鸡,无用的东西 Turkey 土耳其"
lettuce,"n.[植]莴苣,生菜,苦菜类,<俚>纸币"
piece,"n.块,件,片,篇,张,条,硬币vt.接合,修补,凑合"
Thanksgiving,
traditional,"adj.传统的,惯例的,口传的,传说的"
autumn,"n.秋天,成熟期,渐衰期"
traveler," 旅行者,旅游者"
England,
celebrate,"v.庆祝,祝贺,表扬,赞美,举行"
mix,"v.使混和,混淆,混合n.混合"
pepper,n.胡椒粉
fill,"vt.装满,注满,充满,填充,弥漫,供应,供给,满足vi.充满n.满足,饱,充分,填方v.填充"
oven,"n.烤箱,烤炉,灶"
plate,"n.盘子,金属板,图版,金银餐具vt.镀(金,银等),电镀,给...装钢板"
cover,"n.盖子,封面,藉口vt.覆盖,铺,掩饰,保护,掩护,包括,包含,适用vi.覆盖,涂,代替"
gravy,"n.肉汁,不法利润,肉汤"
serve,"v.当仆人,服务,服役,供职,招待,侍候,供应,适合n.发球"
temperature,n.温度
prepare,"v.准备,预备,有能力而且愿意"
prepare for,
exam,"n.考试,测验"
flu,
available,"adj.可用到的,可利用的,有用的,有空的,接受探访的"
another time,
until," prep.到...为止,在...以前 conj.到...为止,在...以前,直到...才"
hang,"n.悬挂的方式,(动作的)暂停,中止vt.悬挂,附着,装饰,绞死,踌躇,使悬而未决,垂下vi.悬着,垂下,被绞死,悬而不决"
hang out,
catch,"n.捕捉,捕获物,(窗)钩v.捕获,赶上(车船等),发觉,感染(疾病)vi.抓住,燃着"
invite,"vt.邀请,引起n.邀请"
accept,"vt.接受,认可,承担,承兑vi.同意,承认"
refuse,"vt.拒绝,谢绝n.废物,垃圾"
the day before yesterday,
the day after tomorrow,
weekday,"n.周日,平日"
look after,
invitation,"n.邀请,招待"
turn down,
reply,"n.答复,报复,答辩vi.答复,回击,报复,答辩vt.回答"
forward,"adj.早的,迅速的,前进的vt.转寄,促进,运送adv.向前地,向将来n.[体](足球等)前锋"
delete,vt.删除
print,"n.版,印刷物,印迹,印章,印刷业,照片v.印刷,出版,印于,用印刷体写 [计]打印"
sad,"adj.忧愁的,悲哀的"
goodbye,int.再见
take a trip,
glad,"adj.高兴的,乐意的,感到高兴的"
preparation,"n.准备,预备"
glue,"n.胶,胶水vt.胶合,粘贴,粘合"
without," prep.没有,不,(表条件)如果没有,要没有adv.在外,在屋外"
surprised,adj.感到惊讶的
look forward to,
hear from,
housewarming,n.乔迁庆宴
opening,"n.开,开放,开始,口子,穴,通路,空缺,机会adj.开始的,开幕的"
concert,"n.音乐会,一致"
headmaster,"n.英国中小学校长,男舍监"
event,"n.事件,事变,结果,活动,精力,竞赛"
guest,"n.客人,来宾,旅客vt.招待,款待vi.作客,寄宿"
calendar,"n.日历,历法"
daytime,"n.白天,日间"
Ted,
Vince,
Steen,
Jake,
Susan,
meeting,"n.会议,集会,会见,会战,汇合点"
video,"n.电视,录象,视频"
organize,"vt.组织,使有机化,给予生机vi.组织起来"
potato chips,
chocolate,"n.巧克力,巧克力色"
upset,"vt.颠覆,推翻,扰乱,使不适,使心烦vi.翻倒,倾覆n.翻倒,混乱"
taxi,n.出租汽车v.乘坐出租汽车
advice,"n.忠告,建议,[商]通知"
travel,"v.旅行,传播vi.行进,传播n.旅行"
agent,n.代理(商)
expert,"n.专家,行家,[军](特等)射手adj.老练的,内行的,专门的vt.在...中当行家,当专家"
keep ... to oneself,
teenager,n.十几岁的青少年
normal,"n.正规,常态,[数学]法线adj.正常的,正规的,标准的"
unless," conj.如果不,除非"
certainly,"adv.的确,(口语)当然,行"
wallet,"n.皮夹,钱夹,钓鱼带"
mile,"n.英里,较大的距离"
angry,"adj.生气的,愤怒的,狂暴的(风雨等)"
understanding,"n.谅解,理解"
careless,"adj.粗心的,疏忽的"
mistake,
himself," pron.他自己,他亲自"
careful,"adj.小心的,仔细的"
advise,"vt.劝告,忠告,警告,建议"
solve,"vt.解决,解答"
step,"n.脚步,步幅,步调,步伐,步骤,措施,梯级,台阶v.走,举步,移步,踏 产品数据转换规范"
trust,"vt.信任,信赖,盼望,希望,赊卖,热望,切望n.(～ in) 信任,信赖"
experience,"n.vt.经验,体验,经历,阅历"
in half,
halfway,"adj.中途的,部分的,不彻底的adv.半路地,在中途,在半途"
else,"adj.别的,其他的adv.另外,其他"
Karen,
Ben,
Michael,
Laura,
Mills,
Robert,
Hunt,
